specie	ProteinName	Ctrl	LT	p	q	log2(A,B)
MOUSE	1433B_MOUSE	25.690717210941433	25.32176389944002	0.8093158807803689	0.7563400586457913	0.3689533115014143
MOUSE	1433B_MOUSE;1433E_MOUSE;1433F_MOUSE;1433G_MOUSE;1433Z_MOUSE	26.859318980704273	26.367237413606414	0.21344488380790083	0.2931458945196086	0.4920815670978591
MOUSE	1433B_MOUSE;1433G_MOUSE	23.889120251399493	22.724174568571815	0.05897598377600344	0.11716778176995922	1.1649456828276783
MOUSE	1433E_MOUSE	27.16085205334274	26.72869830732178	0.3676187181880526	0.42861515596383043	0.4321537460209619
MOUSE	1433F_MOUSE	25.1616064309829	24.568696329618994	0.049155943899721125	0.10346561853672964	0.5929101013639055
MOUSE	1433G_MOUSE	26.55228811991862	26.35336899945599	0.3866128816826678	0.44626639002836954	0.19891912046263016
MOUSE	1433T_MOUSE	24.451517804556218	23.760206581930145	0.04328496905989817	0.09547062100493457	0.6913112226260729
MOUSE	1433Z_MOUSE	27.485714338156324	27.10249532821934	0.6969316558880554	0.6779941365252562	0.3832190099369832
MOUSE	2A5A_MOUSE	20.461879108031855	20.200296702197104	0.8144762868144038	0.7586110088459336	0.26158240583475134
MOUSE	2A5B_MOUSE	23.149302848178927	22.851107608545995	0.8582656720966672	0.7861289342818594	0.29819523963293193
MOUSE	2A5E_MOUSE	22.55813565435316	22.361428465604668	0.48872575867501356	0.5268073687941733	0.19670718874849058
MOUSE	2A5G_MOUSE	21.24502485926519	20.901116214514985	0.9553451917993834	0.8453267724374882	0.3439086447502042
MOUSE	2AAA_MOUSE	26.146311854589463	25.68983069964169	0.3625046139721846	0.4240903175799982	0.45648115494777386
MOUSE	2ABA_MOUSE	22.829481966500104	21.911808520764538	0.012729336801908497	0.04355556963424974	0.9176734457355664
MOUSE	2ABA_MOUSE;2ABD_MOUSE	22.14970185102294	21.590185587596114	0.4830376286154422	0.5217998489341187	0.5595162634268256
MOUSE	3HIDH_MOUSE	24.00643275097989	23.653652374709242	0.7659118444386408	0.7265296850965495	0.3527803762706476
MOUSE	4F2_MOUSE	24.934524566563784	25.12059342957242	0.0009306676429420228	0.01191595434683152	-0.1860688630086358
MOUSE	5NT3A_MOUSE	22.893288382717948	22.656892741609465	0.6130618546438851	0.6180434827449931	0.23639564110848355
MOUSE	5NTC_MOUSE	20.971655577227352	20.57683060539219	0.7335200000074029	0.7047054346933395	0.3948249718351633
MOUSE	5NTD_MOUSE	22.729283418794793	22.983999534945553	0.020065793749661297	0.05787601180878566	-0.2547161161507603
MOUSE	6PGD_MOUSE	25.09223938822629	24.196362690782006	0.0008671741346810004	0.011541009553180777	0.8958766974442831
MOUSE	6PGL_MOUSE	25.68478629924566	25.076382322561372	0.008513566593372338	0.03546334142110268	0.6084039766842864
MOUSE	A16A1_MOUSE	21.411121820697428	19.997211554930377	0.00060761309594419	0.011033228666914108	1.4139102657670506
MOUSE	A1AG1_MOUSE	21.6990066292515	22.600416234450766	0.022172316027146855	0.06117521990860358	-0.9014096051992659
