specie	ProteinName	T	N	p	q	log2(A,B)
A0A0B4J2D5;P0DPI2	A0A0B4J2D5;P0DPI2	19.328445832498918	18.906270440319872		1.0	0.42217539217904587
A0A0C4DH38	A0A0C4DH38	20.060845244794347	19.006111038796867	0.04575853226947733	0.07060358526430645	1.0547342059974802
A0M8Q6;P0CF74;P0CG04;P0DOY2;P0DOY3;B9A064	A0M8Q6;P0CF74;P0CG04;P0DOY2;P0DOY3;B9A064	24.834321524010655	23.7253487308614	0.007473628525440376	0.015442651598339359	1.1089727931492561
A5A3E0;Q6S8J3;P0CG38;P0CG39	A5A3E0;Q6S8J3;P0CG38;P0CG39	22.31496009992129	20.117442135495427		1.0	2.197517964425863
A6NMY6;P07355	A6NMY6;P07355	23.044462594595817	22.708176528493595	0.08790162218050994	0.12261574611154501	0.3362860661022218
O00151	O00151	21.151293448004512	20.50741098850753	0.013061597542945447	0.02513262822647103	0.6438824594969823
O00159	O00159	18.968541995490273	19.983410945499717	0.05321450905980531	0.08021597310568798	-1.0148689500094434
O00468	O00468	18.12301331487537	19.242336403175905		1.0	-1.1193230883005363
O14979	O14979	19.65734957745676	17.935797036201695		1.0	1.7215525412550647
O15143	O15143	19.456618185590862	18.26087169096217		1.0	1.1957464946286933
O15230	O15230	18.36988739399279	18.42196248754022	0.6841832702222415	0.7037782822093099	-0.052075093547429674
O15247	O15247	17.81001344496326	18.67784774417242		1.0	-0.8678342992091608
O43396	O43396	19.26321702494522	18.10059897448323	0.0008149402765449699	0.0028060325683527216	1.1626180504619903
O43491	O43491	20.39786950017854	19.925660353498927		1.0	0.47220914667961367
O43707	O43707	22.22361435640468	21.67863618191351	0.02134333417570867	0.03655269707736379	0.5449781744911704
O43866	O43866	18.960103395959624	18.825584597389163	0.42754800251655045	0.47731797749391347	0.13451879857046123
O60664	O60664	20.1988426398838	18.312058592622762	1.795178507864101e-06	8.388805603922531e-05	1.8867840472610382
O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q8N257;Q93079;Q99877;Q99879;Q99880	O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q8N257;Q93079;Q99877;Q99879;Q99880	24.575495839874463	22.34048804867583		1.0	2.2350077911986332
O75083	O75083	20.681741964034508	19.740765778311868	0.00015564704820036739	0.0008998181117482842	0.94097618572264
O75367	O75367	19.672963081955295	18.63069995891313		1.0	1.042263123042165
O75368	O75368	19.698958711862282	19.375325875935342	0.12087790814124871	0.16204947922379231	0.32363283592694003
O75369	O75369	19.92574763125323	19.02754291859858	0.0018396744564468121	0.005099757218052577	0.8982047126546497
O75390	O75390	20.70953307553491	19.642478805925943	0.0007267944738671493	0.0026125268016814283	1.0670542696089669
O75531	O75531	19.113166926969782	17.922228061100526		1.0	1.1909388658692563
O75874	O75874	20.468166469831544	19.12216397032667	0.0008664938257496737	0.002943005068080708	1.3460024995048734
O75955	O75955	18.428210932979574	17.63212310375058	0.0019211591239163648	0.005280887389434096	0.7960878292289948
O95336	O95336	19.92853887164245	18.96825669577482	0.002043814006474367	0.0054353409265887305	0.9602821758676292
O95865	O95865	19.745483635376083	20.008593170996715	0.8261257212346201	0.8238778569582278	-0.26310953562063233
O96009	O96009	18.535994064684992	19.431923679879183	0.24260472907819458	0.2961113120214238	-0.8959296151941913
P00325;P00326;P07327	P00325;P00326;P07327	18.1327352921675	19.858091268681896	0.004376849920078002	0.009713810297335658	-1.7253559765143969
P00352	P00352	20.105173462822627	20.196281166777474	0.7726954395707203	0.7849518325361535	-0.09110770395484735
P00367	P00367	20.282618393056193	19.67602634123859	0.010566735528474137	0.021075967491323795	0.6065920518176036
P00390	P00390	18.721457633155495	17.61665823110278	0.01931690121380873	0.034340780859875485	1.1047994020527163
P00450	P00450	20.71107280074243	20.530650252922023	0.36494950924280145	0.4153077414006551	0.180422547820406
P00488	P00488	20.475305948885293	18.953054198296645	0.004612994926127087	0.010115276202364213	1.522251750588648
P00491	P00491	20.585285108284236	20.754163023600952	0.9238379217960422	0.8967190884977545	-0.1688779153167168
P00558	P00558	23.176367981047072	21.473941686979263	1.1674949577621958e-05	0.0002121646566352299	1.7024262940678092
P00558;P07205	P00558;P07205	22.314998919557823	20.64012745733839	0.0011940691513185287	0.0036503644909556985	1.674871462219432
