"","logFC","se","df","t","pval","adjPval"
"1433B_MOUSE",0.0310779840527137,0.128061930767902,11.9766396385125,0.242679333868853,0.812360005343255,0.904595221025543
"1433E_MOUSE",0.130799288294858,0.100591593990427,10.6875989767398,1.30030038401922,0.220838860293492,0.44278422009576
"1433F_MOUSE",-0.530932699980129,0.246571524309178,13.0067186241115,-2.15326040372118,0.0506433710116395,0.191049000235325
"1433G_MOUSE",0.0470631006431313,0.156009331643086,12.9873888135721,0.301668497310154,0.767680949446562,0.880861151551348
"1433S_MOUSE",0.155405104819407,0.369753697736609,13.2993335908335,0.42029357859217,0.680982428153865,0.831789081204815
"1433T_MOUSE",-0.108659223977127,0.147297061952284,13.0467778464348,-0.737687653351338,0.473764067007939,0.686403165076564
"1433Z_MOUSE",0.00472931593642915,0.140872570342547,12.9687428084286,0.0335715883150944,0.97372998128905,0.987347110327464
"2A5A_MOUSE",0.209084566362428,0.185434168761444,12.8694972095183,1.12754066717558,0.280097605169757,0.510574221982183
"2A5B_MOUSE",0.0657349284869463,0.111864590915304,12.4830485680362,0.587629454048746,0.567259275567584,0.759599803463994
"2A5E_MOUSE",0.227382825483422,0.120445719499507,12.3633673089093,1.88784480202596,0.0827374702193629,0.252219577224876
"2A5G_MOUSE",0.292798689846546,0.252321704079235,13.3845338867711,1.16041816899984,0.266158787056929,0.494125782044557
"2AAA_MOUSE",0.123803915241965,0.0874526650822972,13.3845338867711,1.41566772293857,0.17971968291866,0.391922759934335
"2ABA_MOUSE",-0.558792854622623,0.307150437501538,11.8320832375549,-1.81928067291073,0.0942481767249012,0.273862603483697
"2ABD_MOUSE",NA,NA,NA,NA,NA,NA
"3HAO_MOUSE",NA,NA,NA,NA,NA,NA
"3HIDH_MOUSE",-0.0425183678555305,0.172853960230497,12.8336628618428,-0.245978557846365,0.809589003287313,0.90368349460383
"4F2_MOUSE",0.241642945463334,0.111528930878376,13.0909719980904,2.16663912726689,0.0492908600064084,0.189029469068681
"5HT2B_MOUSE",0.500702897533161,0.140916028591817,12.7440440338771,3.55320045942762,0.00363786487514274,0.0474701824196615
"5NT3A_MOUSE",-0.0681978427776196,0.137018905692903,12.6943270541108,-0.49772578778632,0.627187507660639,0.798548945150993
"5NTC_MOUSE",-0.573864217169052,0.266270161480757,11.6898965664484,-2.15519536240085,0.052739073936296,0.19647248490465
"5NTD_MOUSE",-0.0401578289028953,0.188857370986596,13.1401994450574,-0.212635750953801,0.83487424861437,0.914553875576551
"6PGD_MOUSE",-0.0931639891440489,0.105455951389444,13.1844397401528,-0.883439843048772,0.392822959550212,0.616046979673455
"6PGL_MOUSE",-0.17360140806253,0.124548536124004,12.8769344211362,-1.39384543138819,0.186952689309729,0.400065425162797
"A16A1_MOUSE",-0.675116304504866,0.157717006308313,13.0837338671883,-4.28055490214616,0.000882460846569044,0.0224666455983386
"A16L1_MOUSE",-0.0854570306968522,0.207872303979792,13.2831949852319,-0.411103495082057,0.687551981803799,0.836036578118218
"A1AG1_MOUSE",0.266132554760483,0.48172950352755,12.9697597512207,0.552452263794681,0.590032837276806,0.771098824088315
"A1AT1_MOUSE;A1AT3_MOUSE",0.380047651055657,0.225847718374203,11.5031261742967,1.68276063974205,0.119338884247812,0.311448544651083
"A1AT2_MOUSE",0.123373716969528,0.315023974581387,12.4204531653443,0.391632786467985,0.701965856053342,0.841945378548569
"A1AT4_MOUSE",0.248921909157032,0.160223481482677,11.9921994925944,1.55359193829491,0.146263278533744,0.349430976875144
"A1AT5_MOUSE",-0.421564913368534,0.560316032334773,13.089471798588,-0.752369893133203,0.465144284585908,0.678500259593418
"A2AP_MOUSE",0.0680198613275087,0.201550100099242,13.3602092687494,0.337483639521965,0.740995862901377,0.864285191559974
"A4_MOUSE",-0.171747050489391,0.23451071676865,12.7902538843761,-0.732363334417773,0.477153701043701,0.689732712947577
"A4GCT_MOUSE",NA,NA,NA,NA,NA,NA
"AAAS_MOUSE",-0.236189943331592,0.364930001822968,13.3845338867711,-0.647219856278549,0.528434521357907,0.728525180251741
"AAAT_MOUSE",0.194674406594474,0.122874583742441,12.8460960998017,1.58433421025893,0.137416389640756,0.336498471726115
