,Protein,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage
0,1433B_MOUSE;1433G_MOUSE,ST-LT,1.30738016175315,0.321563044348383,4.06570401895043,0.0,,1.0,,0.685185185185185,0.0185185185185185
1,1433F_MOUSE,ST-LT,-0.0903268834452968,0.37528329805933,-0.240689857268886,3.0,0.825306536419598,1.0,,0.111111111111111,0.0
2,1433G_MOUSE,ST-LT,0.46893603946182,0.55145059626592,0.850368179193498,2.0,0.48468459105078,1.0,,0.555555555555556,0.111111111111111
3,1433T_MOUSE,ST-LT,-0.891448621616673,0.641813518892375,-1.38895270257802,3.0,0.258996800261944,0.95699289643522,,0.511111111111111,0.0666666666666667
4,2A5A_MOUSE,ST-LT,-0.23061012619569,0.200504670231191,-1.15014840267703,2.0,0.369043995600192,1.0,,0.4,0.0666666666666667
5,2A5A_MOUSE;2A5E_MOUSE,ST-LT,0.18662954169518,0.20432358446828,0.913401858042254,1.0,0.528792955032279,1.0,,0.481481481481482,0.037037037037037
6,2A5B_MOUSE,ST-LT,-0.0088551624447744,0.430415457422635,-0.020573523306528,1.0,0.986904335733961,1.0,,0.5,0.0555555555555556
7,2AAA_MOUSE,ST-LT,1.30452284574722,0.714565532714507,1.82561680632926,3.0,0.165391023436198,0.8641038608918331,,0.555555555555556,0.111111111111111
8,2ABA_MOUSE;2ABD_MOUSE,ST-LT,0.714050238964551,0.291806599844811,2.44699824933466,2.0,0.134195067434495,0.8304514749670087,,0.488888888888889,0.155555555555556
9,4F2_MOUSE,ST-LT,-1.362871854742,0.461349426550293,-2.95409894606951,7.0,0.021282611631037,0.5516242782488155,,0.398692810457516,0.398692810457516
10,5NTD_MOUSE,ST-LT,0.113560405628609,0.170838820471061,0.664722487052326,1.0,0.626523556866907,1.0,,0.518518518518519,0.0740740740740741
11,6PGD_MOUSE,ST-LT,inf,,,,,1.0,oneConditionMissing,0.796296296296296,0.0185185185185185
12,AAAT_MOUSE,ST-LT,-0.746197698303015,0.0004613483759601,-1617.42782067904,0.0,,1.0,,0.688888888888889,0.133333333333333
13,AACS_MOUSE,ST-LT,inf,,,,,1.0,oneConditionMissing,0.474747474747475,0.0303030303030303
14,AAK1_MOUSE,ST-LT,-1.79494057760987,0.521519023786633,-3.44175475053088,4.0,0.0262515688371512,0.5732936780754782,,0.462962962962963,0.12962962962963
15,AAKG1_MOUSE,ST-LT,0.221173350473563,0.18931348373794,1.16829158761732,0.0,,1.0,,0.555555555555556,0.111111111111111
16,AAKG2_MOUSE,ST-LT,0.317523615516241,0.254739633984069,1.24646334200236,3.0,0.30105568201972,0.9999315400701602,,0.488888888888889,0.266666666666667
17,AAPK2_MOUSE,ST-LT,0.588881156383614,0.242550107131071,2.42787423740609,2.0,0.135904276668507,0.8304514749670087,,0.5,0.0555555555555556
18,AASD1_MOUSE,ST-LT,0.708246362245299,0.427815078263489,1.65549649423318,6.0,0.148904112874362,0.8479379707861572,,0.534722222222222,0.423611111111111
19,AATM_MOUSE,ST-LT,0.652790532785303,0.406140561007932,1.60730199211143,0.0,,1.0,,0.592592592592593,0.037037037037037
20,AB1IP_MOUSE,ST-LT,,,,,,1.0,completeMissing,,
21,ABC8B_MOUSE,ST-LT,0.29853151367881,0.353054047728993,0.845568874225073,4.0,0.445408211113117,1.0,,0.373737373737374,0.373737373737374
22,ABCA2_MOUSE,ST-LT,0.0128859673534208,0.549286745222795,0.0234594544024436,5.0,0.982191228492578,1.0,,0.585185185185185,0.362962962962963
23,ABCA6_MOUSE,ST-LT,1.62559635875495,0.255937384064488,6.35153932160746,5.0,0.001428796416588,0.42489643842894026,,0.385185185185185,0.274074074074074
24,ABCA7_MOUSE,ST-LT,0.239697507913769,0.675052962859022,0.355079558348413,1.0,0.782789884331631,1.0,,0.666666666666667,0.0
25,ABCB6_MOUSE,ST-LT,0.959745709285281,0.589584517170424,1.62783397686791,3.0,0.202042355060674,0.8899052353590178,,0.679012345679012,0.234567901234568
26,ABCB9_MOUSE,ST-LT,-0.562489666722653,0.269317321474091,-2.08857589866074,6.0,0.0817591511769091,0.6819359132578956,,0.414814814814815,0.414814814814815
27,ABCBA_MOUSE,ST-LT,inf,,,,,1.0,oneConditionMissing,0.6,0.0444444444444444
28,ABCD1_MOUSE,ST-LT,0.722294542965097,0.19187312116545,3.76443838812769,0.0,,1.0,,0.444444444444444,0.0
29,ABCF1_MOUSE,ST-LT,-0.491755340690796,0.40015619219369,-1.22890848694594,4.0,0.286458836935401,0.9918316852475593,,0.580246913580247,0.246913580246914
30,ABCF2_MOUSE,ST-LT,inf,,,,,1.0,oneConditionMissing,0.888888888888889,0.111111111111111
31,ABCF3_MOUSE,ST-LT,-0.353438696728927,0.581415301738355,-0.607893696076095,1.0,0.652276064228648,1.0,,0.666666666666667,0.0
32,ABD12_MOUSE,ST-LT,0.640321833330118,0.326610466528058,1.96050616545416,3.0,0.14478068598045,0.8442152486402368,,0.555555555555556,0.111111111111111
33,ABEC2_MOUSE,ST-LT,1.80127569034218,0.507026591733579,3.55262568021023,0.0,,1.0,,0.527777777777778,0.0833333333333333
34,ABHD6_MOUSE,ST-LT,inf,,,,,1.0,oneConditionMissing,0.740740740740741,0.0740740740740741
35,ABHGA_MOUSE,ST-LT,inf,,,,,1.0,oneConditionMissing,0.777777777777778,0.0
36,ABLM1_MOUSE,ST-LT,-0.2957690129627,0.43020281513317,-0.687510640466507,6.0,0.517440939356152,1.0,,0.534391534391534,0.423280423280423
37,ABLM2_MOUSE,ST-LT,-0.569222904879709,0.433440508718403,-1.31326651162068,4.0,0.259359968904667,0.95699289643522,,0.661835748792271,0.328502415458937
38,ACACA_MOUSE,ST-LT,1.606061182903,0.403758514405744,3.97777663033762,5.0,0.0105540679379299,0.496990371797293,,0.622222222222222,0.4
39,ACACB_MOUSE,ST-LT,0.209165209938209,0.150490757312692,1.38988741683054,3.0,0.258742415523567,0.95699289643522,,0.494949494949495,0.272727272727273
40,ACAD8_MOUSE,ST-LT,-inf,,,,,1.0,oneConditionMissing,0.814814814814815,0.037037037037037
41,ACADL_MOUSE,ST-LT,4.47094167492102,2.93093730253029,1.52543067743593,0.0,,1.0,,0.583333333333333,0.0277777777777778
42,ACADM_MOUSE,ST-LT,-inf,,,,,1.0,oneConditionMissing,0.611111111111111,0.0555555555555556
43,ACADV_MOUSE,ST-LT,0.723394905422566,0.315929014609358,2.28973874500585,6.0,0.061966246601828,0.6629235394675549,,0.544444444444445,0.433333333333333
44,ACAP2_MOUSE,ST-LT,0.125280800112989,0.352497271972436,0.355409275685928,1.0,0.782603501062995,1.0,,0.733333333333333,0.0666666666666667
45,ACBD5_MOUSE,ST-LT,0.408418363176254,0.310425566548595,1.31567244192278,2.0,0.318861381404752,1.0,,0.466666666666667,0.0222222222222222
46,ACBG1_MOUSE,ST-LT,-0.295343882501847,0.479749435063641,-0.615621115765708,6.0,0.560755374052114,1.0,,0.54320987654321,0.432098765432099
47,ACE_MOUSE,ST-LT,1.012516275805,0.72357430420895,1.39932591568731,5.0,0.220593697769438,0.9125235218139249,,0.493827160493827,0.271604938271605
48,ACES_MOUSE,ST-LT,0.778548830564794,0.339796955241407,2.29121779508495,3.0,0.1058379427123,0.7614715771069984,,0.477777777777778,0.366666666666667
49,ACINU_MOUSE,ST-LT,0.174599096190961,0.397799929109877,0.438911833347096,5.0,0.679043559559713,1.0,,0.674897119341564,0.452674897119342
50,ACLY_MOUSE,ST-LT,-0.11998719870731,0.262257864715823,-0.457516112385518,5.0,0.6664934571876,1.0,,0.361111111111111,0.25
51,ACOC_MOUSE,ST-LT,0.738274482241396,0.324921242789332,2.27216440483723,6.0,0.0634787983629119,0.6650242854151147,,0.631944444444444,0.520833333333333
52,ACON_MOUSE,ST-LT,-0.387355897614818,0.798847715834299,-0.484893290594531,5.0,0.648248904783499,1.0,,0.666666666666667,0.444444444444444
53,ACOX2_MOUSE,ST-LT,-0.549770957758531,0.203143389876474,-2.70631969906986,0.0,,1.0,,0.444444444444444,0.0
54,ACOX3_MOUSE,ST-LT,-0.354535240351602,0.597305415480767,-0.593557719657102,0.0,,1.0,,0.777777777777778,0.0
