Protein,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage
1433B_MOUSE;1433E_MOUSE;1433F_MOUSE;1433G_MOUSE;1433Z_MOUSE,ST-LT,0.0111639674413993,0.121421186862548,0.0919441468978326,7.0,0.92931836999118,0.961279032188325,,0.0,0.0
1433B_MOUSE;1433G_MOUSE,ST-LT,0.231010189007341,0.434054740179356,0.532214413582685,7.0,0.611045173410038,0.776138573038789,,0.234567901234568,0.234567901234568
1433E_MOUSE;1433F_MOUSE;1433T_MOUSE;1433Z_MOUSE,ST-LT,-0.174293593371377,0.160776621034536,-1.08407299674458,7.0,0.314252589800188,0.531507146703225,,0.0,0.0
1433E_MOUSE;1433S_MOUSE;1433T_MOUSE;1433Z_MOUSE,ST-LT,-0.300167776688165,0.131002443522842,-2.29131433442176,7.0,0.0556995222043377,0.189517624300259,,0.171717171717172,0.171717171717172
1433S_MOUSE,ST-LT,0.0289791501470759,0.504484932238432,0.0574430439745614,7.0,0.955797617993217,0.974777488264346,,0.0888888888888889,0.0888888888888889
2A5A_MOUSE;2A5E_MOUSE,ST-LT,0.110759638322742,0.244251963361778,0.453464679662324,1.0,0.728970961680761,0.850153795070707,,0.481481481481482,0.037037037037037
2A5G_MOUSE,ST-LT,-0.0962645901761213,0.190334308600228,-0.505765833202002,7.0,0.628555100672847,0.786326748798688,,0.0925925925925926,0.0925925925925926
2ABA_MOUSE,ST-LT,0.0795819239655948,0.160992072698637,0.494322003758316,7.0,0.636212483407643,0.790295401511148,,0.0092592592592593,0.0092592592592592
2ABA_MOUSE;2ABD_MOUSE,ST-LT,0.224527442017332,0.21666298354212,1.03629811768785,7.0,0.334529892322957,0.551538683769284,,0.183574879227053,0.183574879227053
5HT2B_MOUSE,ST-LT,-0.630313112304363,0.0806172718376281,-7.8185864881893,6.0,0.0002310311313757,0.0160017077155283,,0.0,0.0
A16A1_MOUSE,ST-LT,0.138606281956955,0.188349233100505,0.735900431742097,7.0,0.485713661023726,0.680347034743628,,0.152777777777778,0.152777777777778
A16L1_MOUSE,ST-LT,0.362624639611156,0.181638919878952,1.99640385360592,7.0,0.0860746058841637,0.243900210387472,,0.212962962962963,0.212962962962963
A1AG1_MOUSE,ST-LT,-1.11570965761672,0.319266066680725,-3.49460770828634,7.0,0.0100659242098438,0.0725283050061956,,0.0185185185185185,0.0185185185185185
A1AT1_MOUSE;A1AT3_MOUSE,ST-LT,1.01448087989525,0.385323743354318,2.63280137129364,7.0,0.033774842944041,0.141875189033456,,0.0,0.0
A1AT2_MOUSE;A1AT4_MOUSE,ST-LT,0.365827611443936,0.254423430752422,1.43786918666277,7.0,0.193632929218297,0.396292355888875,,0.0370370370370371,0.037037037037037
A1AT2_MOUSE;A1AT4_MOUSE;A1AT5_MOUSE,ST-LT,0.785531124281644,0.356862236368444,2.20121672798861,7.0,0.0636166571232064,0.20763134375224,,0.0101010101010101,0.0101010101010101
A1AT2_MOUSE;A1AT5_MOUSE,ST-LT,0.685312834866118,0.309571166684371,2.21374891662582,7.0,0.0624507415476541,0.205589594255821,,0.203703703703704,0.203703703703704
A1AT4_MOUSE;A1AT5_MOUSE,ST-LT,0.848288433831491,0.380435552408388,2.22978222845187,7.0,0.0609904628250597,0.202458585133918,,0.0,0.0
AAAS_MOUSE,ST-LT,0.180982460123437,0.262272744635903,0.690054394995118,7.0,0.512381447517447,0.700580144715303,,0.268518518518518,0.268518518518519
AAAT_MOUSE,ST-LT,0.196848912191192,0.180357932138561,1.09143473678752,7.0,0.311217582884593,0.528647662349324,,0.178743961352657,0.178743961352657
AAKB2_MOUSE,ST-LT,0.88068587413508,0.457062403730861,1.92683945768961,7.0,0.0953649648043409,0.259065303590235,,0.404040404040404,0.404040404040404
AAKG1_MOUSE,ST-LT,-0.0624840517904215,0.30552125104218,-0.204516221301395,5.0,0.846014542265282,0.920848190038739,,0.355555555555556,0.355555555555556
AAKG1_MOUSE;AAKG2_MOUSE,ST-LT,-0.146466740967167,0.0980625580541813,-1.49360514220159,7.0,0.178920067768337,0.377535212763887,,0.0,0.0
AAKG2_MOUSE,ST-LT,-0.320256084504193,0.226534853308108,-1.41371660840469,7.0,0.200340147356115,0.404976813334956,,0.363636363636364,0.363636363636364
AAMDC_MOUSE,ST-LT,-0.224909768015845,0.124635913893239,-1.80453419075098,7.0,0.114124496340317,0.289017966528305,,0.0092592592592593,0.0092592592592592
AAPK1_MOUSE;AAPK2_MOUSE,ST-LT,-0.0367403232343217,0.131992221530905,-0.278352184759003,0.0,,,,0.577777777777778,0.244444444444444
AAPK2_MOUSE,ST-LT,0.851725298986588,0.215625445501792,3.95002221098952,7.0,0.0055318538826596,0.0557692824762946,,0.214814814814815,0.214814814814815
AB1IP_MOUSE,ST-LT,,,,,,,completeMissing,,
ABC8A_MOUSE,ST-LT,0.0875723324549439,0.170823057737015,0.512649367216942,7.0,0.623972553524265,0.783419414526314,,0.0,0.0
ABCA2_MOUSE,ST-LT,0.832879832145812,0.376928946254099,2.20964677938092,7.0,0.0628299882555163,0.206052081965681,,0.472222222222222,0.472222222222222
ABCA7_MOUSE,ST-LT,0.463044733500659,0.422896443309659,1.09493645743812,6.0,0.315539343635337,0.532184827665127,,0.416666666666667,0.416666666666667
ABCB6_MOUSE,ST-LT,0.91439852475162,0.566115344499987,1.61521593370561,3.0,0.204676697623509,0.409955828499773,,0.679012345679012,0.234567901234568
ABCB7_MOUSE,ST-LT,0.108997371732409,0.256064012540996,0.42566454634057,7.0,0.683133678917845,0.81934637773238,,0.0370370370370371,0.037037037037037
ABCBA_MOUSE,ST-LT,inf,,,,,0.0,oneConditionMissing,0.6,0.0444444444444444
ABCBB_MOUSE,ST-LT,-0.128357527469375,0.137290873423956,-0.934931246835361,7.0,0.380945459409485,0.593014137067935,,0.0,0.0
ABCD1_MOUSE,ST-LT,0.956888476007098,0.445100835174745,2.14982404072872,6.0,0.0751245197962285,0.22692576374944,,0.333333333333333,0.222222222222222
ABCD2_MOUSE,ST-LT,0.896431922495815,0.20297285706147,4.41651132803601,4.0,0.0115420994980795,0.0773832385068285,,0.311111111111111,0.0888888888888889
ABCF3_MOUSE,ST-LT,-0.516349133606512,0.182508145970027,-2.82918403922262,7.0,0.025435936376901,0.117549437721434,,0.142857142857143,0.142857142857143
ABCG2_MOUSE,ST-LT,-0.0646798515255971,0.11829340726037,-0.546774778270044,7.0,0.601519808853304,0.771600810414087,,0.0092592592592593,0.0092592592592592
ABHD4_MOUSE,ST-LT,0.386882858988996,0.149379313473364,2.58993598238742,7.0,0.0359481360506209,0.14670288805066,,0.0326797385620915,0.0326797385620915
ABHD5_MOUSE,ST-LT,1.57078323966828,0.228441004844773,6.87610020248175,5.0,0.0009951555586984,0.0282168065705955,,0.444444444444444,0.222222222222222
ABHDA_MOUSE,ST-LT,-0.690858462072622,0.253027962241795,-2.73036409079734,7.0,0.0293232655080575,0.128738594698278,,0.242424242424242,0.242424242424242
ABI2_MOUSE,ST-LT,0.620826501970102,0.207486310554583,2.99213234989198,7.0,0.0201653824746761,0.103371320331579,,0.240740740740741,0.240740740740741
ABR_MOUSE;BCR_MOUSE,ST-LT,-0.0490597001811821,0.322646110113053,-0.152054212474441,4.0,0.886505334678217,0.94112380964322,,0.355555555555556,0.0222222222222222
ABRAL_MOUSE,ST-LT,0.320006976884334,0.112268921639259,2.85036118822427,7.0,0.0246756754143078,0.115209585725122,,0.0,0.0
ABRX2_MOUSE,ST-LT,0.046221640836437,0.297448342267557,0.155393842453694,7.0,0.880896894630023,0.940753084075944,,0.0185185185185185,0.0185185185185185
ABTB2_MOUSE,ST-LT,0.0592805115462234,0.172154306011198,0.344345215172065,7.0,0.740699821612335,0.858681820455186,,0.222222222222222,0.222222222222222
ACACB_MOUSE,ST-LT,-0.0221306654530622,0.0848091326010646,-0.260946725598092,3.0,0.811021301565071,0.903601990800386,,0.494949494949495,0.272727272727273
