specie	ProteinName	ST	Ctrl	p	q	log2(A,B)
MOUSE	1433B_MOUSE	25.890589127331538	25.705244749969157	0.17647914736334083	0.34167058847551207	0.18534437736238019
MOUSE	1433B_MOUSE;1433E_MOUSE;1433F_MOUSE;1433G_MOUSE;1433Z_MOUSE	26.843506336464074	26.862392198459816	0.8504583202648517	0.8760830784671646	-0.018885861995741493
MOUSE	1433B_MOUSE;1433G_MOUSE	23.403908920040568	23.805686592144617	0.23274069778808426	0.40105329149916596	-0.4017776721040498
MOUSE	1433E_MOUSE	27.074959246360816	26.99442690777499	0.31682287129898845	0.48254866077474784	0.08053233858582587
MOUSE	1433E_MOUSE;1433S_MOUSE;1433T_MOUSE;1433Z_MOUSE	26.95348930280677	26.586148531976107		1.0	0.36734077083066197
MOUSE	1433F_MOUSE	24.739368925550988	24.889502276886542	0.1998549822919787	0.36705673740104894	-0.15013335133555472
MOUSE	1433G_MOUSE	26.607356551301834	26.57686174472451	0.7967790982228207	0.8407237948010079	0.030494806577323175
MOUSE	1433T_MOUSE	24.39633363891901	24.348725827363726	0.6198182907549321	0.7250585841018103	0.047607811555284485
MOUSE	1433Z_MOUSE	27.607857562650956	27.507153167374398	0.33274954381509453	0.4964704433501579	0.1007043952765585
MOUSE	2A5A_MOUSE	20.77335049426126	20.590939054997094	0.2767357533594105	0.4432171595862288	0.1824114392641647
MOUSE	2A5B_MOUSE	23.321298587056283	23.240416958377576	0.47712675009896377	0.617034005893958	0.08088162867870707
MOUSE	2A5E_MOUSE	22.627350053566566	22.591131300514455	0.7451926924791518	0.8094482326264644	0.0362187530521112
MOUSE	2A5G_MOUSE	21.649695639132197	21.506270325985433	0.5157985777557834	0.6486934874366682	0.1434253131467642
MOUSE	2AAA_MOUSE	26.36381823208316	26.257282140306586	0.22348152442924418	0.3895854738871697	0.10653609177657586
MOUSE	2ABA_MOUSE	22.452138316755654	22.81609417060449	0.07239522826389767	0.20513827440497975	-0.3639558538488359
MOUSE	2ABA_MOUSE;2ABD_MOUSE	22.25488506179812	22.300230213702335	0.8409952054549147	0.8693278259619088	-0.04534515190421473
MOUSE	3HIDH_MOUSE	23.980454954125396	24.01322488079246	0.7491073638441796	0.8118249501751744	-0.03276992666706491
MOUSE	4F2_MOUSE	25.141496295671658	24.93508438262502	0.01316827939732498	0.09401371781442014	0.20641191304663664
MOUSE	5NT3A_MOUSE	22.783777983947157	22.94690330434026	0.1723947634550583	0.33572655717559075	-0.16312532039310312
MOUSE	5NTC_MOUSE	20.698227295877825	20.94275489570632	0.4712744165079764	0.6128368045687301	-0.24452759982849415
MOUSE	5NTD_MOUSE	22.892639086568117	22.776811220765797	0.5822159220749339	0.6985884333410508	0.11582786580231996
MOUSE	6PGD_MOUSE	24.7113626516187	24.90371538469337	0.07772431398860315	0.21335402217887803	-0.19235273307467082
MOUSE	6PGL_MOUSE	25.495559807758088	25.7028252872599	0.07580254660837112	0.21053706579023065	-0.2072654795018103
MOUSE	A16A1_MOUSE	20.634957820908568	21.364480231082435	0.0018680894562235254	0.054486649898259305	-0.7295224101738675
MOUSE	A1AG1_MOUSE	21.939961036750766	21.780838380597146	0.5956667933599944	0.7085285442471757	0.1591226561536203
MOUSE	A1AT1_MOUSE;A1AT3_MOUSE	25.194773283269807	24.865587405477275	0.015540050152567628	0.1003262515711447	0.3291858777925327
MOUSE	A1AT2_MOUSE	25.62173491986056	25.1956518648146	0.0008186834361585266	0.037423691764495996	0.4260830550459609
MOUSE	A1AT2_MOUSE;A1AT4_MOUSE	27.686901892212145	27.406892686763143	0.09238190743613635	0.23263467998920462	0.28000920544900154
MOUSE	A1AT2_MOUSE;A1AT4_MOUSE;A1AT5_MOUSE	25.918310023644995	25.65865694779901	0.13724409688771477	0.2918003695664042	0.2596530758459856
