"","logFC","se","df","t","pval","adjPval"
"1433B_MOUSE",-0.097935952016199,0.139898540852056,11.9766396385125,-0.700049846265141,0.497269706594035,0.622170174847462
"1433E_MOUSE",0.0570422190754593,0.120393844395867,10.6875989767398,0.473796807151526,0.645175706158464,0.746538250836853
"1433F_MOUSE",-0.224391925369808,0.256342717085332,13.0067186241115,-0.875359081471823,0.397255870314788,0.528720257553108
"1433G_MOUSE",0.303321981692801,0.169134723734182,12.9873888135721,1.79337497940111,0.0962192916939477,0.190848838791548
"1433S_MOUSE",0.159548913831336,0.391995746705372,13.2993335908335,0.407016951516198,0.690470406857255,0.782500510391696
"1433T_MOUSE",-0.399581246516836,0.155321309758609,13.0467778464348,-2.57261059115353,0.0231256130410537,0.0661007106090118
"1433Z_MOUSE",-0.126061799635131,0.148453557943041,12.9687428084286,-0.849166576953979,0.411190035771228,0.542454547190505
"2A5A_MOUSE",0.00744371821606937,0.204597650796334,12.8694972095183,0.0363822272010308,0.971535862932614,0.980852394083276
"2A5B_MOUSE",0.0952213945335969,0.121475378984725,12.4830485680362,0.783874027226293,0.447733065355795,0.578116208614823
"2A5E_MOUSE",0.238405248440632,0.122043467461553,12.3633673089093,1.95344538629842,0.0737726181466209,0.156819881513977
"2A5G_MOUSE",0.0529381770536376,0.267627581992458,13.3845338867711,0.197805385601583,0.846169920531753,0.895836759043717
"2AAA_MOUSE",-0.0426110767136751,0.0927575587687925,13.3845338867711,-0.459381179057196,0.653332665857184,0.753978241155058
"2ABA_MOUSE",-0.535791501668683,0.297529449709309,11.8320832375549,-1.80080157507823,0.0972568166907249,0.192350590506121
"2ABD_MOUSE",NA,NA,NA,NA,NA,NA
"3HAO_MOUSE",NA,NA,NA,NA,NA,NA
"3HIDH_MOUSE",0.127996654474521,0.182348527592006,12.8336628618428,0.701934126723009,0.495254084225156,0.62061850533643
"4F2_MOUSE",0.826748514387264,0.120868859285732,13.0909719980904,6.84004564345931,1.14570238416846e-05,0.000450955971211226
"5HT2B_MOUSE",1.08462097293233,0.144259339959017,12.7440440338771,7.51854939333883,4.93662636734917e-06,0.000296320997700134
"5NT3A_MOUSE",0.285862108915777,0.149917566672996,12.6943270541108,1.90679528263227,0.0794325432136415,0.165409831965267
"5NTC_MOUSE",-0.0238839377281803,0.251967205473926,11.6898965664484,-0.0947898663369978,0.926087139933651,0.951908814957699
"5NTD_MOUSE",0.520678386951247,0.197789120675773,13.1401994450574,2.63249255152295,0.0205389437899352,0.0601757218299383
"6PGD_MOUSE",-0.412272570577344,0.111725977179001,13.1844397401528,-3.69003324908783,0.00266167741659065,0.013938249677719
"6PGL_MOUSE",-0.285362358565838,0.131342503787322,12.8769344211362,-2.17265812922155,0.0490788496695331,0.11678723295991
"A16A1_MOUSE",-0.875855223182623,0.166003687077634,13.0837338671883,-5.27611909471034,0.000146752236087264,0.00215688681638406
"A16L1_MOUSE",-0.715920524930491,0.222068123672676,13.2831949852319,-3.22387793930184,0.00649359119474417,0.025538267745423
"A1AG1_MOUSE",1.04977566515893,0.519004228116292,12.9697597512207,2.02267266486259,0.0642270339001777,0.141836956706676
"A1AT1_MOUSE;A1AT3_MOUSE",-0.64066254906384,0.27261540554722,11.5031261742967,-2.35005996002992,0.0375494931186882,0.0955552018844414
"A1AT2_MOUSE",0.49849448093273,0.333478761515541,12.4204531653443,1.49483127101484,0.159925909181457,0.275354684793603
"A1AT4_MOUSE",0.246580654325967,0.177967733887159,11.9921994925944,1.38553573133831,0.191116936324272,0.313329985738872
"A1AT5_MOUSE",-2.3452542714345,0.605474834749002,13.089471798588,-3.87341328959892,0.00189739777773677,0.0111757898559483
"A2AP_MOUSE",-0.0110821009933534,0.214139177739065,13.3602092687494,-0.0517518611510561,0.959492203882438,0.973068967907807
"A4_MOUSE",0.158488818069909,0.24322340571914,12.7902538843761,0.65161828320471,0.526183461309385,0.644739214393383
"A4GCT_MOUSE",NA,NA,NA,NA,NA,NA
"AAAS_MOUSE",0.140694337561611,0.387066718421159,13.3845338867711,0.36348859477121,0.721916738403941,0.807134849316816
"AAAT_MOUSE",-0.0377691446957798,0.129422285269718,12.8460960998017,-0.291828757443653,0.775076936609892,0.846467921219172
"AACS_MOUSE",-2.05586505243886,0.147469318949149,13.3845338867711,-13.9409679727874,2.3615929885742e-09,5.67018476556666e-06
"AAK1_MOUSE",-0.446296858345124,0.249223530324809,11.2714366226939,-1.79074928343834,0.1001990153933,0.196550519574603
"AAKB2_MOUSE",0.00385454554166179,0.354725078633614,12.2350386957005,0.0108662899068465,0.991505302548389,0.995025335181455
"AAKG1_MOUSE",0.819809339770127,0.218280678891403,11.1490281766434,3.75575769662138,0.00310565380393069,0.015534739131745
"AAKG2_MOUSE",0.415570411464623,0.27486115457404,12.3781980463506,1.51192849389229,0.15565532590484,0.270233548210947
"AAMDC_MOUSE",0.488876880326258,0.143639468373647,13.3501748605121,3.40349964993291,0.00455109230039072,0.0199400960095586
"AAPK1_MOUSE",-0.118202864736426,0.189115405150613,10.9807387423571,-0.625030333421482,0.544720686100057,0.659210870628143
"AAPK2_MOUSE",-0.0379741516542388,0.301337709554384,12.66123964263,-0.126018584631823,0.90169630447925,0.934240910704077
"AASD1_MOUSE",-0.0972215809206802,0.134725010575023,12.187328145782,-0.721629788750631,0.484137483046827,0.611314276516136
"AATC_MOUSE",0.949858646462859,0.129800543221947,13.1397325235369,7.31783259827111,5.49977727923e-06,0.000302294425037811
"AATM_MOUSE",0.275251633796967,0.175588872108837,13.3845338867711,1.56759155914137,0.140307068163455,0.251026282161294
"AB1IP_MOUSE",NA,NA,NA,NA,NA,NA
"ABC8A_MOUSE",0.00539925090614965,0.249141731564106,12.6991445697588,0.0216714031497384,0.983046884741746,0.989226978317239
"ABC8B_MOUSE",-0.671762810420747,0.179286720129059,12.92787632196,-3.7468631805924,0.00246430083213591,0.0132218688222532
"ABCA2_MOUSE",-1.36649467617933,0.311274794642045,12.7388702119773,-4.38999462757898,0.000766194522844816,0.00612190698619103
"ABCA3_MOUSE",NA,NA,NA,NA,NA,NA
"ABCA6_MOUSE",-0.535114033948721,0.174443317397711,12.5488923084982,-3.06755249746095,0.00931982238557662,0.0333854398900033
"ABCA7_MOUSE",0.0823892917825866,0.401258270372196,12.7805323329395,0.20532733619712,0.84055055065828,0.891414254474616
"ABCA9_MOUSE",-0.742177436695445,0.243473851664055,12.8794301799431,-3.04828395995272,0.00941766145838894,0.0334989706097657
"ABCB6_MOUSE",-0.163761244493076,0.791598426482755,10.1613040547426,-0.206874140996848,0.840194908281886,0.891381996812472
"ABCB7_MOUSE",0.308893920992946,0.239929892974223,12.8590778913592,1.28743407986321,0.220632727773432,0.347142319386638
"ABCB9_MOUSE",0.710150400455283,0.15997465930322,12.8605893732156,4.43914307146139,0.000685083309408923,0.00576141865460884
"ABCBA_MOUSE",0.362969696595381,0.93510340173998,6.04357538881241,0.388159957412186,0.711202303328542,0.798743874817943
"ABCBB_MOUSE",0.337159540803997,0.143841206886242,12.8484283570694,2.34397046647866,0.0358345925128883,0.092217424033703
"ABCD1_MOUSE",-1.0842625967921,0.409815532473393,12.090830865023,-2.6457332894343,0.0212311831754865,0.0619769857803564
"ABCD2_MOUSE",-1.05386548767019,0.319929215140786,12.3845338867711,-3.29405830351076,0.006166472399036,0.0247173626545667
"ABCD3_MOUSE",-0.762241302067189,0.257753609002694,11.6228862678884,-2.95724783453652,0.0123550052302716,0.0412865240889103
"ABCE1_MOUSE",-0.121084059397592,0.187575448795515,11.6148591369377,-0.645521896256217,0.531134705441513,0.647830544965746
"ABCF1_MOUSE",-1.22247959016654,0.241664011578426,11.7250132696589,-5.05859181175519,0.000301307854058279,0.00337268138738427
"ABCF2_MOUSE",-0.236683626248249,0.152177762039978,12.6519751488272,-1.55531020482527,0.14452250545289,0.25630069108197
"ABCF3_MOUSE",0.697555594056615,0.235734607917717,13.3829382250523,2.95907164509378,0.010786632412603,0.0369717407889506
"ABCG2_MOUSE",-0.040392011113908,0.279955678084953,13.0749998774293,-0.14428002100265,0.887479520148235,0.925192265219303
"ABD12_MOUSE",-0.329980659795183,0.124935616853725,12.1804730054785,-2.64120567141015,0.021297478347314,0.0620950158007296
"ABEC2_MOUSE",0.344560614155841,0.762636413710362,12.8043356142844,0.451801943837814,0.6589697930959,0.758878588641528
"ABHD3_MOUSE",NA,NA,NA,NA,NA,NA
"ABHD4_MOUSE",-0.5338717303246,0.152933276407835,13.1404154633001,-3.49088009401496,0.00392446308295668,0.0179821295079752
"ABHD5_MOUSE",-1.41801319539489,0.1640824121761,8.00422325775616,-8.64207916368892,2.48674028535079e-05,0.000715049511991288
"ABHD6_MOUSE",-0.493459111352727,0.271902894044768,12.2740535039004,-1.81483581881803,0.0940492727050585,0.187707650677345
"ABHDA_MOUSE",0.597126910422312,0.307180248209602,12.9144253486966,1.94389748007127,0.0740210340169092,0.156914470712847
"ABHDB_MOUSE",NA,NA,NA,NA,NA,NA
"ABHEB_MOUSE",0.283202402590595,0.140773916374824,12.0596806994597,2.01175338360654,0.0671365036442892,0.146407579700217
"ABHGA_MOUSE",-0.526485755181025,0.144023518864892,13.3845338867711,-3.65555403263629,0.00277922328554535,0.0142888974488102
"ABI1_MOUSE",-0.378707579199421,0.130205172502212,12.5621981301594,-2.90854481370921,0.0125835692971004,0.0418464679810778
"ABI2_MOUSE",-0.382016893104999,0.234768273192393,13.3336311684717,-1.627208344255,0.127082655452512,0.233991913912178
"ABLM1_MOUSE",-0.253881893149578,0.269401119508816,11.8988385464951,-0.942393608506406,0.364732128639433,0.499698625314282
"ABLM2_MOUSE",-0.0964836537977747,0.292566457475039,11.9985208171897,-0.329783716938933,0.747249600842499,0.82527428317518
