Protein,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage
1433B_MOUSE;1433E_MOUSE;1433F_MOUSE;1433G_MOUSE;1433Z_MOUSE,LT-Ctrl,0.194610127695853,0.121421186862548,1.60276911076612,7.0,0.153019953724341,0.274026522393194,,0.0,0.0
1433B_MOUSE;1433G_MOUSE,LT-Ctrl,-0.635068044146502,0.434054740179356,-1.46310588356686,7.0,0.186840792386112,0.314910611068109,,0.234567901234568,0.234567901234568
1433E_MOUSE;1433F_MOUSE;1433T_MOUSE;1433Z_MOUSE,LT-Ctrl,0.0459984896546972,0.160776621034536,0.286101855846418,7.0,0.783081869235517,0.855013577239902,,0.0,0.0
1433E_MOUSE;1433S_MOUSE;1433T_MOUSE;1433Z_MOUSE,LT-Ctrl,0.511083136409097,0.131002443522842,3.90132521703676,7.0,0.0058888201064792,0.0328017755366843,,0.181818181818182,0.181818181818182
1433S_MOUSE,LT-Ctrl,0.140368641912617,0.504484932238432,0.278241495320371,7.0,0.788866485927877,0.859605514289704,,0.133333333333333,0.133333333333333
2A5A_MOUSE;2A5E_MOUSE,LT-Ctrl,0.251374828631238,0.234563475152629,1.07167080666617,1.0,0.477984502902029,0.609116955477211,,0.481481481481482,0.037037037037037
2A5G_MOUSE,LT-Ctrl,0.333486909790081,0.190334308600228,1.75211138886435,7.0,0.123212856579563,0.235523451973014,,0.0925925925925926,0.0925925925925926
2ABA_MOUSE,LT-Ctrl,-0.38497376737162,0.160992072698637,-2.39125915281714,7.0,0.0480797495929561,0.123581754855549,,0.0,0.0
2ABA_MOUSE;2ABD_MOUSE,LT-Ctrl,0.019923703108976,0.21666298354212,0.0919571159930177,7.0,0.929308432110397,0.954557566869623,,0.169082125603865,0.169082125603865
5HT2B_MOUSE,LT-Ctrl,1.240472611976,0.0879272377102641,14.1079447538609,6.0,7.91862592786075e-06,0.0020214642230527,,0.111111111111111,0.0
A16A1_MOUSE,LT-Ctrl,-0.720717006262386,0.188349233100505,-3.82649291636777,7.0,0.0064872852665163,0.0346944523395223,,0.0763888888888888,0.0763888888888889
A16L1_MOUSE,LT-Ctrl,-0.532581003027236,0.181638919878952,-2.93208637984723,7.0,0.0219590031158605,0.0750909629162969,,0.148148148148148,0.148148148148148
A1AG1_MOUSE,LT-Ctrl,1.43552894020527,0.319266066680725,4.49634048218737,7.0,0.0028106294080148,0.0214893326208343,,0.0185185185185185,0.0185185185185185
A1AT1_MOUSE;A1AT3_MOUSE,LT-Ctrl,-0.534232620910016,0.385323743354318,-1.38645134156389,7.0,0.208160379245649,0.339899551473698,,0.0,0.0
A1AT2_MOUSE;A1AT4_MOUSE,LT-Ctrl,0.255849326130186,0.254423430752422,1.00560441848279,7.0,0.348094194424301,0.48565473973498,,0.0617283950617284,0.0617283950617284
A1AT2_MOUSE;A1AT4_MOUSE;A1AT5_MOUSE,LT-Ctrl,-0.416985459769413,0.356862236368444,-1.16847740465005,7.0,0.280863937914932,0.418494304074943,,0.0101010101010101,0.0101010101010101
A1AT2_MOUSE;A1AT5_MOUSE,LT-Ctrl,-0.0771191685439594,0.309571166684371,-0.249116122053407,7.0,0.810422465768457,0.876609038394351,,0.259259259259259,0.259259259259259
A1AT4_MOUSE;A1AT5_MOUSE,LT-Ctrl,-0.457897125683002,0.380435552408388,-1.20361286631661,7.0,0.267858338114499,0.406508902983044,,0.0,0.0
AAAS_MOUSE,LT-Ctrl,-0.294091010554714,0.262272744635903,-1.12131747034173,7.0,0.299140711197276,0.438312018448959,,0.259259259259259,0.259259259259259
AAAT_MOUSE,LT-Ctrl,-0.0125021628118464,0.180357932138561,-0.0693186191680306,7.0,0.94667464900153,0.968375946855379,,0.183574879227053,0.183574879227053
AAKB2_MOUSE,LT-Ctrl,-0.875494886910281,0.457062403730861,-1.91548217434618,7.0,0.0969722820251826,0.198614410588824,,0.388888888888889,0.388888888888889
AAKG1_MOUSE,LT-Ctrl,0.361697023104579,0.347851246375956,1.03980372895849,5.0,0.346075745031278,0.483463811261309,,0.511111111111111,0.288888888888889
AAKG1_MOUSE;AAKG2_MOUSE,LT-Ctrl,0.571184622054906,0.0980625580541813,5.8246963304722,7.0,0.0006470365573065,0.0104147007827355,,0.0,0.0
AAKG2_MOUSE,LT-Ctrl,0.29623463820205,0.226534853308108,1.30767797482864,7.0,0.232290158740064,0.367185721306883,,0.303030303030303,0.303030303030303
AAMDC_MOUSE,LT-Ctrl,0.453156929784196,0.124635913893239,3.63584552500944,7.0,0.0083329118559856,0.0400608581687071,,0.0,0.0
AAPK1_MOUSE;AAPK2_MOUSE,LT-Ctrl,0.598320875628555,0.170401225272705,3.51124749643684,0.0,,,,0.866666666666667,0.0888888888888889
AAPK2_MOUSE,LT-Ctrl,-0.147344407199349,0.215625445501792,-0.683334969379228,7.0,0.516367677367571,0.645341055002079,,0.281481481481481,0.281481481481481
