Protein,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage
1433B_MOUSE;1433E_MOUSE;1433F_MOUSE;1433G_MOUSE;1433Z_MOUSE,ST-Ctrl,0.205774095137252,0.114476992813636,1.79751485499138,7.0,0.115303038631091,0.323870705526014,,0.0,0.0
1433B_MOUSE;1433G_MOUSE,ST-Ctrl,-0.404057855139162,0.406549653591699,-0.993870863176188,7.0,0.353391529804437,0.574197606194521,,0.266666666666667,0.266666666666667
1433E_MOUSE;1433F_MOUSE;1433T_MOUSE;1433Z_MOUSE,ST-Ctrl,-0.12829510371668,0.149868631020654,-0.856050414572741,7.0,0.420304593760252,0.623622274878644,,0.0,0.0
1433E_MOUSE;1433S_MOUSE;1433T_MOUSE;1433Z_MOUSE,ST-Ctrl,0.210915359720933,0.122544900816644,1.72112718126487,7.0,0.128905197355453,0.344942924618179,,0.281818181818182,0.281818181818182
1433S_MOUSE,ST-Ctrl,0.169347792059693,0.475632955456309,0.356047221112393,7.0,0.73229423726416,0.846899782632413,,0.12,0.12
2A5A_MOUSE;2A5E_MOUSE,ST-Ctrl,0.36213446695398,0.2646660246481,1.36826956703443,1.0,0.401791190629218,0.609262708204435,,0.6,0.0
2A5G_MOUSE,ST-Ctrl,0.23722231961396,0.178196787199698,1.33123791591211,7.0,0.224828795481092,0.45276612250594,,0.1,0.1
2ABA_MOUSE,ST-Ctrl,-0.305391843406025,0.151784781763312,-2.01200568237626,7.0,0.0841165298322104,0.271785768755973,,0.0083333333333333,0.0083333333333333
2ABA_MOUSE;2ABD_MOUSE,ST-Ctrl,0.244451145126308,0.203066363014446,1.20379929741942,7.0,0.267790700354284,0.494888586918832,,0.152173913043478,0.152173913043478
5HT2B_MOUSE,ST-Ctrl,0.610159499671638,0.0806172718376281,7.56859523726585,6.0,0.0002763820341971,0.0247844306938456,,0.1,0.0
A16A1_MOUSE,ST-Ctrl,-0.582110724305431,0.177577359942204,-3.27806835564449,7.0,0.0135230178887704,0.106690098640866,,0.08125,0.08125
