specie	ProteinName	Ctrl	ST	p	q	log2(A,B)
MOUSE	1433B_MOUSE	25.690717210941433	25.87427682849841	0.184027126406736	0.34430614961206346	-0.18355961755697692
MOUSE	1433B_MOUSE;1433E_MOUSE;1433F_MOUSE;1433G_MOUSE;1433Z_MOUSE	26.859318980704273	26.857872748744583	0.9894165216961037	0.9519896113427468	0.0014462319596901807
MOUSE	1433B_MOUSE;1433G_MOUSE	23.889120251399493	23.333060352321368	0.07781191363339186	0.2096025239801663	0.5560598990781251
MOUSE	1433E_MOUSE	27.16085205334274	27.2315699281474	0.3507417174544405	0.5129972635011992	-0.07071787480466085
MOUSE	1433F_MOUSE	25.1616064309829	25.02351362667316	0.1845233961693239	0.3450352048206386	0.13809280430973914
MOUSE	1433G_MOUSE	26.55228811991862	26.578995095436316	0.8220318096291093	0.8555339979551476	-0.026706975517694076
MOUSE	1433T_MOUSE	24.451517804556218	24.55654518974879	0.30262764056734176	0.4684503817634808	-0.10502738519257093
MOUSE	1433Z_MOUSE	27.485714338156324	27.58247488311119	0.35095905327067467	0.51308329071335	-0.09676054495486497
MOUSE	2A5A_MOUSE	20.461879108031855	20.74837102391847	0.029753048445644033	0.13011305705668738	-0.2864919158866144
MOUSE	2A5B_MOUSE	23.149302848178927	23.235873705752102	0.4810156420905485	0.6206951557232725	-0.08657085757317518
MOUSE	2A5E_MOUSE	22.55813565435316	22.663708148414536	0.4596663217027661	0.605781821644636	-0.10557249406137714
MOUSE	2A5G_MOUSE	21.24502485926519	21.47032398994421	0.342034796929226	0.50513349170583	-0.2252991306790193
MOUSE	2AAA_MOUSE	26.146311854589463	26.278383663524714	0.16417603488564717	0.3231187680463639	-0.13207180893525106
MOUSE	2ABA_MOUSE	22.829481966500104	22.470005318605654	0.046328037117189184	0.1590161539907044	0.35947664789445
MOUSE	2ABA_MOUSE;2ABD_MOUSE	22.14970185102294	22.2385513932086	0.6658151139835409	0.761242134231837	-0.08884954218565966
MOUSE	3HIDH_MOUSE	24.00643275097989	23.97632608548012	0.7750530111971998	0.8276648463598586	0.030106665499769036
MOUSE	4F2_MOUSE	24.934524566563784	25.13682239507529	0.015160888971737738	0.09477999163377379	-0.20229782851150446
MOUSE	5NT3A_MOUSE	22.893288382717948	22.756983470815737	0.30389517899086943	0.46936653883603435	0.1363049119022115
MOUSE	5NTC_MOUSE	20.971655577227352	20.670519388048046	0.30979537998504963	0.47432825094407716	0.3011361891793065
MOUSE	5NTD_MOUSE	22.729283418794793	22.811958538730092	0.626030218857681	0.7349665425670547	-0.08267511993529908
MOUSE	6PGD_MOUSE	25.09223938822629	24.960151718188026	0.137825782626568	0.2913788856008894	0.13208767003826338
MOUSE	6PGL_MOUSE	25.68478629924566	25.474959587528303	0.043889080308985	0.15474721341921008	0.2098267117173549
MOUSE	A16A1_MOUSE	21.411121820697428	20.44938706734134	0.0016483037467035688	0.04851769683748447	0.9617347533560867
MOUSE	A16L1_MOUSE	20.752557583098607	20.43699278284326		1.0	0.3155648002553484
MOUSE	A1AG1_MOUSE	21.6990066292515	21.88325091202131	0.5344663835997379	0.6628098065030663	-0.18424428276981075
MOUSE	A1AT1_MOUSE;A1AT3_MOUSE	24.815118519783713	25.11581963392746	0.024567733393160613	0.12079730738858938	-0.3007011141437488
MOUSE	A1AT2_MOUSE	25.231533124848056	25.660313936980423	0.0008736062190554237	0.04220364414612985	-0.4287808121323664
MOUSE	A1AT2_MOUSE;A1AT4_MOUSE	26.631052336562608	27.049077992959596	0.0019139501160771646	0.05062584545572937	-0.4180256563969884
MOUSE	A1AT2_MOUSE;A1AT4_MOUSE;A1AT5_MOUSE	25.58774155574931	25.850933324214953	0.1397056611654917	0.2934407367699612	-0.2631917684656422
MOUSE	A1AT4_MOUSE	26.015531320159063	26.23880113942056	0.08375323233036092	0.21780949447271622	-0.22326981926149614
MOUSE	A1AT5_MOUSE	26.011569893052545	25.800408487768152	0.5201648292460865	0.6531696573050527	0.2111614052843933
MOUSE	A2AP_MOUSE	23.8014508302117	23.801175819054123	0.9977071822519592	0.9548778052839816	0.00027501115757644357
MOUSE	A4_MOUSE	21.540933024487952	21.60318698341003	0.733800000003693	0.8045821482990304	-0.06225395892207786
MOUSE	AAAS_MOUSE	19.37992510424802	19.157256872677017	0.64558594318967	0.7462856183262717	0.2226682315710029
MOUSE	AAAT_MOUSE	22.086860358034563	22.33747627025996	0.1707717588933003	0.3298003220402419	-0.2506159122253955
MOUSE	AACS_MOUSE	25.270900652664398	25.164967878756126	0.24865575582055688	0.4142235192957415	0.10593277390827183
MOUSE	AAK1_MOUSE	24.111498885041037	24.14700876766908	0.7298934357579494	0.8022009960636182	-0.035509882628044664
MOUSE	AAKB2_MOUSE	20.531677390551852	20.535303921070046	0.9852166986962544	0.9514220418615751	-0.003626530518193505
MOUSE	AAMDC_MOUSE	24.19674326293044	24.405220749525586	0.11565048950367214	0.2625046421712955	-0.20847748659514664
MOUSE	AAPK1_MOUSE	22.828434039117486	22.85609942503481	0.734906067560164	0.8055220335133944	-0.027665385917323704
MOUSE	AAPK2_MOUSE	20.742093522968112	21.256545893735453	0.15232862202389777	0.3077712439262988	-0.5144523707673407
MOUSE	AASD1_MOUSE	22.763310450193043	22.553355709298764	0.09090764718142699	0.22845127849951474	0.209954740894279
MOUSE	AATC_MOUSE	27.449980698413174	27.818551712168926	0.003788653646312434	0.059763047496755504	-0.3685710137557514
MOUSE	AATM_MOUSE	27.458222991716447	27.463894101257576	0.9615307458678404	0.9398027929462082	-0.005671109541129482
MOUSE	ABC8B_MOUSE	22.26295802440571	22.33811158860709	0.6807110902679527	0.7717306550227357	-0.07515356420138275
MOUSE	ABCA2_MOUSE	20.318955779887382	19.80240663224212	0.04114457422113201	0.14983823044010355	0.5165491476452608
MOUSE	ABCA6_MOUSE	21.02614021537858	21.48972581298262	0.07399046648485508	0.20451629123164114	-0.46358559760404106
MOUSE	ABCA9_MOUSE	22.377480805590523	22.310782595549984	0.3505270888039276	0.5129151198160973	0.06669821004053844
MOUSE	ABCB9_MOUSE	23.997937572417584	23.718511937786534	0.08729539558274357	0.223538998842066	0.27942563463104975
MOUSE	ABCD3_MOUSE	22.72545183127003	22.700443316542838	0.9007798270494547	0.9034791265544401	0.025008514727190345
MOUSE	ABCE1_MOUSE	23.05237241477815	22.891130773554515	0.1160914140918298	0.26313640196602056	0.16124164122363638
MOUSE	ABCF1_MOUSE	23.02596573675254	22.611391534409993	0.0035245811756461068	0.059559297678671325	0.41457420234254627
MOUSE	ABCF2_MOUSE	22.817424287105187	22.638256478101482	0.21150298827506459	0.376765058040297	0.17916780900370455
MOUSE	ABCF3_MOUSE	21.391126265255323	21.4362757326702	0.8310880076505177	0.8623847225989294	-0.04514946741487691
MOUSE	ABCG2_MOUSE	23.045269235158838	23.08286500196768	0.8030208974930803	0.8430675253254327	-0.0375957668088418
MOUSE	ABD12_MOUSE	23.710769130631626	23.598279229005758	0.35786099392835163	0.5180519155777173	0.11248990162586736
MOUSE	ABEC2_MOUSE	23.75264844537668	25.043391699504724	0.042958841466959385	0.15287216878670087	-1.2907432541280457
MOUSE	ABHD4_MOUSE	22.534407697685193	22.361135349394875	0.21049439041716547	0.37553231896626643	0.17327234829031823
MOUSE	ABHD6_MOUSE	21.16377250268564	20.898103260322166	0.40124709144622295	0.5537660939873625	0.26566924236347234
MOUSE	ABHEB_MOUSE	23.589412427494885	23.62674024248499	0.6409812398582556	0.742819714240374	-0.03732781499010329
MOUSE	ABHGA_MOUSE	23.3748229020644	23.36900788444311	0.9672561619809282	0.9427177138889478	0.005815017621287666
MOUSE	ABI1_MOUSE	23.30235267559141	22.95284076114208	0.00459339633838938	0.062207830713436024	0.34951191444933016
MOUSE	ABI1_MOUSE;ABI2_MOUSE	21.17193785742214	21.206693253276427	0.8099275614314022	0.8492253300566363	-0.034755395854286775
MOUSE	ABI2_MOUSE	21.23490332553553	21.307910116670545	0.6764586457430721	0.7685247188594524	-0.07300679113501474
MOUSE	ABLM1_MOUSE	22.784145434344346	22.970304988544267	0.2195727253536705	0.38541313710393404	-0.18615955419992147
MOUSE	ABLM2_MOUSE	22.965411880862696	23.083703140397333	0.3034462892022744	0.46904465545051033	-0.1182912595346366
MOUSE	ABRAL_MOUSE	23.323263025562397	22.478549927754766	0.0016753893533461549	0.04851769683748447	0.8447130978076309
MOUSE	ABR_MOUSE	22.161867000754423	22.372669014586325	0.26248667944692244	0.42887608673454525	-0.210802013831902
MOUSE	ACACA_MOUSE	24.149386585904153	24.058188525463535	0.5239489856719863	0.6567116480386185	0.09119806044061818
MOUSE	ACACA_MOUSE;ACACB_MOUSE	22.983221815457416	23.050120996162008	0.6580049362890643	0.7547118696871664	-0.066899180704592
MOUSE	ACAD8_MOUSE	23.05608772744476	23.089550157627745	0.5796900951671912	0.6999407600177611	-0.033462430182986225
MOUSE	ACAD9_MOUSE	23.65790681765858	23.85741232028061	0.19601478653037432	0.35794903277898404	-0.19950550262202782
MOUSE	ACADL_MOUSE	26.499219980260246	26.616408808781667	0.16183598509412572	0.32077310581063095	-0.11718882852142087
MOUSE	ACADM_MOUSE	25.578029932529123	25.76179152106966	0.06612128855573281	0.1935063492963254	-0.1837615885405377
MOUSE	ACADS_MOUSE	24.84037331265457	24.909102201642302	0.5144409206243602	0.6489151190092702	-0.06872888898773155
MOUSE	ACADV_MOUSE	25.007437020124687	25.241275917778268	0.08413760805012259	0.2183069441859748	-0.23383889765358035
MOUSE	ACBD5_MOUSE	21.858772363181696	21.928463134561184	0.6401245459912842	0.7427368218774411	-0.06969077137948787
