"","logFC","se","df","t","pval","adjPval"
"1433B_MOUSE",0.129013936068913,0.143727747501741,11.9766396385125,0.897627203594419,0.387073229299635,0.616901973812429
"1433E_MOUSE",0.0737570692193986,0.114543894074885,10.6875989767398,0.643919693974946,0.533202065759405,0.738585432869297
"1433F_MOUSE",-0.306540774610321,0.260957475889603,13.0067186241115,-1.17467711382985,0.261182094000859,0.488774908570586
"1433G_MOUSE",-0.25625888104967,0.168577573640414,12.9873888135721,-1.52012438852801,0.152445425757741,0.353904506595278
"1433S_MOUSE",-0.00414380901192946,0.390494322630764,13.2993335908335,-0.0106117010460295,0.99169078289166,0.99688070744102
"1433T_MOUSE",0.290922022539709,0.154172623284187,13.0467778464348,1.88698885925714,0.0816112562407617,0.240997586934809
"1433Z_MOUSE",0.13079111557156,0.150450456280834,12.9687428084286,0.869330135678837,0.400470022104973,0.628244706353505
"2A5A_MOUSE",0.201640848146358,0.204597650796334,12.8694972095183,0.985548208210275,0.342521963465155,0.57490054825574
"2A5B_MOUSE",-0.0294864660466505,0.123350767898701,12.4830485680362,-0.239045662616918,0.814949868693714,0.915231555412394
"2A5E_MOUSE",-0.0110224229572103,0.125807106128273,12.3633673089093,-0.0876136753831048,0.931586869143552,0.971612090165508
"2A5G_MOUSE",0.239860512792908,0.267627581992458,13.3845338867711,0.896247356147573,0.385956713186265,0.61678433813611
"2AAA_MOUSE",0.16641499195564,0.0927575587687925,13.3845338867711,1.79408550811958,0.0954105772396924,0.264185119745045
"2ABA_MOUSE",-0.0230013529539398,0.321043404970322,11.8320832375549,-0.0716456173770837,0.944080719729063,0.977252773472507
"2ABD_MOUSE",NA,NA,NA,NA,NA,NA
"3HAO_MOUSE",NA,NA,NA,NA,NA,NA
"3HIDH_MOUSE",-0.170515022330052,0.18539063244073,12.8336628618428,-0.91976072407308,0.374662584647656,0.604930239589917
"4F2_MOUSE",-0.585105568923931,0.120868859285732,13.0909719980904,-4.84082974209885,0.000316106496425913,0.00864610950655637
"5HT2B_MOUSE",-0.583918075399169,0.148894705969696,12.7440440338771,-3.92168459984072,0.00181719978316879,0.0263631219298385
"5NT3A_MOUSE",-0.354059951693396,0.151000936053284,12.6943270541108,-2.34475335681666,0.0360018859167721,0.147162068497989
"5NTC_MOUSE",-0.549980279440872,0.279202368401534,11.6898965664484,-1.96982669806697,0.0730137527362935,0.225621280095851
"5NTD_MOUSE",-0.560836215854142,0.200034579077778,13.1401994450574,-2.80369633310288,0.0147961466245669,0.0858105025255681
"6PGD_MOUSE",0.319108581433295,0.110705133748849,13.1844397401528,2.88250933472732,0.0126771265307582,0.0793784018681447
"6PGL_MOUSE",0.111760950503308,0.133398316115354,12.8769344211362,0.837798810043927,0.417423294752933,0.644730351046505
"A16A1_MOUSE",0.200738918677757,0.165756242817529,13.0837338671883,1.2110489189764,0.24729813793043,0.47463276405187
"A16L1_MOUSE",0.630463494233639,0.222068123672676,13.2831949852319,2.8390544478276,0.0137008605050053,0.082756644207592
"A1AG1_MOUSE",-0.783643110398449,0.52039348905941,12.9697597512207,-1.50586647772026,0.156063063574256,0.358036185144641
"A1AT1_MOUSE;A1AT3_MOUSE",1.0207102001195,0.26874434778468,11.5031261742967,3.79807132143779,0.00273123204433873,0.0329532067259161
"A1AT2_MOUSE",-0.375120763963202,0.342384591762156,12.4204531653443,-1.09561228217824,0.294038590943683,0.525678821188223
"A1AT4_MOUSE",0.00234125483106457,0.172352774961534,11.9921994925944,0.0135840854989837,0.989385177960215,0.99505151751418
"A1AT5_MOUSE",1.92368935806596,0.604539062536821,13.089471798588,3.18207619205549,0.00715782836448398,0.0563675037677866
"A2AP_MOUSE",0.0791019623208622,0.214139177739066,13.3602092687494,0.369395096946016,0.71762201777939,0.858595309861298
"A4_MOUSE",-0.330235868559299,0.249294311085558,12.7902538843761,-1.32468272990779,0.208457973397965,0.429259593155423
"A4GCT_MOUSE",NA,NA,NA,NA,NA,NA
"AAAS_MOUSE",-0.376884280893203,0.387066718421159,13.3845338867711,-0.97369332716207,0.347478524642113,0.58118839266159
"AAAT_MOUSE",0.232443551290254,0.127196743023278,12.8460960998017,1.8274332012394,0.0909480004916149,0.255996987593711
"AACS_MOUSE",1.93773868068102,0.147469318949149,13.3845338867711,13.139944596538,4.95744870078397e-09,2.38056686611646e-05
"AAK1_MOUSE",0.429188330631716,0.249709548122204,11.2714366226939,1.71875017939513,0.112970318071912,0.294464600126316
"AAKB2_MOUSE",-0.0175519835854579,0.356463942602451,12.2350386957005,-0.0492391557398916,0.961523400630876,0.982951883598067
"AAKG1_MOUSE",-0.133573584008737,0.214944841856545,11.1490281766434,-0.621431911810585,0.546811589867853,0.748514610759815
"AAKG2_MOUSE",-0.172372074560513,0.27652921868714,12.3781980463506,-0.623341270694187,0.544375364465709,0.747096456177289
"AAMDC_MOUSE",-0.342415011473874,0.143639468373647,13.3501748605121,-2.38385045106931,0.0326156027094256,0.138732040624998
"AAPK1_MOUSE",0.194697689002489,0.191007841814248,10.9807387423571,1.0193177785435,0.329985007089348,0.56171145127368
"AAPK2_MOUSE",0.384473715457507,0.29970465663963,12.66123964263,1.28284198106339,0.222534304065603,0.44655650987172
"AASD1_MOUSE",0.0276995723312654,0.133597689524671,12.187328145782,0.207335713887105,0.839171718861257,0.924667873788838
"AATC_MOUSE",-0.795193140454814,0.129800543221947,13.1397325235369,-6.12626974214668,3.4587482875926e-05,0.00242286123087432
"AATM_MOUSE",-0.350015744453923,0.175588872108837,13.3845338867711,-1.99338226990244,0.0670102455989934,0.214398553741042
"AB1IP_MOUSE",NA,NA,NA,NA,NA,NA
"ABC8A_MOUSE",-0.620513479749131,0.248702497805465,12.6991445697588,-2.49500300650176,0.0272172753325918,0.125309066296362
"ABC8B_MOUSE",0.79515079110795,0.182508990964871,12.92787632196,4.35677599719457,0.000787116807937083,0.0154274894355668
"ABCA2_MOUSE",0.863536774255116,0.309049421184676,12.7388702119773,2.79417049527202,0.0154470113495153,0.0879978175947569
"ABCA3_MOUSE",NA,NA,NA,NA,NA,NA
"ABCA6_MOUSE",0.985597876755616,0.182056028650353,12.5488923084982,5.41370634118632,0.000133895489475393,0.00494589338816028
"ABCA7_MOUSE",-0.0774003404638286,0.389540699417238,12.7805323329395,-0.198696414982109,0.845626144150346,0.928796144604291
"ABCA9_MOUSE",0.721136187257878,0.243473851664054,12.8794301799431,2.96186297760181,0.0111132357859966,0.0737883118847852
"ABCB6_MOUSE",-0.377935906570344,0.82510971869151,10.1613040547426,-0.458043212931353,0.656560482532008,0.817423758651465
"ABCB7_MOUSE",-0.206539713385645,0.246111487644969,12.8590778913592,-0.839211998440282,0.416679414287889,0.644203009468913
"ABCB9_MOUSE",-0.60968216290028,0.161942024999617,12.8605893732156,-3.76481745798671,0.00240241615601675,0.030800678488682
"ABCBA_MOUSE",-0.107618127833467,0.825811089688165,6.04357538881241,-0.130318094752281,0.900544325385824,0.95757362592606
"ABCBB_MOUSE",-0.0841857896162103,0.142207372783847,12.8484283570694,-0.591993143310309,0.564127651281249,0.759445186838396
"ABCD1_MOUSE",0.970937233973141,0.409815532473393,12.090830865023,2.36920554990477,0.0353088008205152,0.145920071297472
"ABCD2_MOUSE",1.3035908299396,0.337235003291637,12.3845338867711,3.86552646438149,0.00212333243473342,0.02856090294563
"ABCD3_MOUSE",0.852453107158728,0.248963594523358,11.6228862678884,3.42400706734152,0.00526572506061675,0.047447105858749
"ABCE1_MOUSE",0.0601362902458488,0.184902475277206,11.6148591369377,0.325232478124982,0.75078873851066,0.877035207691455
"ABCF1_MOUSE",0.809016354638148,0.241664011578426,11.7250132696589,3.34769066090588,0.00598155139095603,0.0508830349063754
"ABCF2_MOUSE",0.161241429127799,0.149456200721111,12.6519751488272,1.07885406125558,0.300791773956913,0.533383345103802
"ABCF3_MOUSE",-0.599658231399617,0.235717886462807,13.3829382250523,-2.54396575668531,0.0240355300975305,0.115998608571198
"ABCG2_MOUSE",0.0992167734121228,0.28095659586155,13.0749998774293,0.353139149867173,0.729612479165823,0.866155531509093
"ABD12_MOUSE",0.258565265532739,0.120889441642503,12.1804730054785,2.13885730647491,0.053372857154123,0.187077708068685
"ABEC2_MOUSE",-0.120919256840396,0.754700335053636,12.8043356142844,-0.160221549168654,0.875206561141832,0.941474441443341
"ABHD3_MOUSE",NA,NA,NA,NA,NA,NA
"ABHD4_MOUSE",0.514466413717209,0.152933276407835,13.1404154633001,3.36399262345792,0.0050136216459808,0.0467483711533976
"ABHD5_MOUSE",1.47460524265624,0.148906175533089,8.00422325775616,9.90291529130409,9.0950593752389e-06,0.00113223308500775
"ABHD6_MOUSE",0.52016220491555,0.265228336268087,12.2740535039004,1.9611863959731,0.0729449152101989,0.225621280095851
"ABHDA_MOUSE",-0.832382788485982,0.311752476013075,12.9144253486966,-2.67001179631713,0.0193542155592523,0.101390229564784
"ABHDB_MOUSE",NA,NA,NA,NA,NA,NA
"ABHEB_MOUSE",-0.2533051025379,0.142011916032625,12.0596806994597,-1.78368907070944,0.0996375053203107,0.271065671901345
"ABHGA_MOUSE",0.568297010248979,0.144023518864892,13.3845338867711,3.94586255583782,0.00158768021448205,0.024673269870365
"ABI1_MOUSE",0.143756931159195,0.134377533354017,12.5621981301594,1.06979885380444,0.304835110005281,0.5380018185254
"ABI2_MOUSE",0.402649483288286,0.234768273192393,13.3336311684717,1.71509326116785,0.109460836386732,0.289125927573754
"ABLM1_MOUSE",0.33971358898524,0.270100935564224,11.8988385464951,1.25772829433411,0.2326135666191,0.457978822019236
"ABLM2_MOUSE",0.23236735147346,0.292566457475039,11.9985208171897,0.794237840793097,0.442482962594977,0.66629023457515
"ABR_MOUSE",-0.0202515662716656,0.198170641113302,13.3845338867711,-0.102192565749873,0.920119017457972,0.966154018123922
"ABRAL_MOUSE",0.196037926506676,0.137370416205453,12.0837338381298,1.42707528972962,0.178884622613894,0.39010170653584
"ABRX2_MOUSE",0.275630404947314,0.406789549049256,12.4265953336412,0.677574941616651,0.510460133263622,0.719891207028463
"ABTB2_MOUSE",-0.256954058791192,0.234487329612991,12.6088211739995,-1.09581212432792,0.29365054449238,0.525572088949836
"ACACA_MOUSE",0.7869067768561,0.133080410448173,12.9044052062001,5.91301735699526,5.2826592528305e-05,0.00288265110591955
"ACACB_MOUSE",-0.372529037923601,0.556562751218959,9.68780435174161,-0.669338789036284,0.518911749468581,0.725748002611412
"ACAD8_MOUSE",-0.0359184575033107,0.141303471861017,11.7631751857907,-0.254193736574564,0.803734790359019,0.908553310570624
"ACAD9_MOUSE",0.160758329736165,0.134283148843884,11.6480266840789,1.19715936899172,0.255040873573256,0.483309500749319
"ACADL_MOUSE",-0.269608720724238,0.198810661674281,13.17950151841,-1.35610795947125,0.197844542202718,0.415958621566311
"ACADM_MOUSE",-0.0263635180098032,0.269750194863238,12.0742514449633,-0.0977330823548407,0.92374791093515,0.967467277712233
"ACADS_MOUSE",0.120189562275306,0.208209570343077,10.3372109618945,0.577252823091964,0.576124364462229,0.768931248364944
"ACADV_MOUSE",0.0670948779068904,0.168607175505441,12.8447147778416,0.397936076597909,0.697212099426372,0.844280394149938
"ACAP2_MOUSE",0.39480550610026,0.25527312273614,13.3845338867711,1.54660037009986,0.145271372496004,0.344109303569542
"ACBD5_MOUSE",0.303945024767149,0.232279530305425,12.831627011015,1.3085312527001,0.213646412913945,0.435639097585037
"ACBD6_MOUSE",-0.284176563076063,0.260328619448471,11.5464958431182,-1.09160707600308,0.297260144068949,0.529663529431945
"ACBG1_MOUSE",-0.342616187572503,0.262127277631331,12.7994224662297,-1.3070604122871,0.214187334412338,0.436186420631063
"ACBP_MOUSE",-0.284738610518175,0.296806280956841,12.591799958516,-0.959341593446872,0.355446194289008,0.58874819701658
"ACD10_MOUSE",0.53959745737087,0.317496905084453,11.644424409557,1.69953611745393,0.115747783545295,0.298781794032849
"ACDSB_MOUSE",0.419252465839354,0.194486348199939,13.1478590821655,2.15569097635761,0.0502030401764124,0.180445358478392
"ACE_MOUSE",1.2245426917848,0.166871665143902,11.9208029922169,7.3382301946158,9.34218472222616e-06,0.00113223308500775
"ACE2_MOUSE",NA,NA,NA,NA,NA,NA
"ACES_MOUSE",0.304993252009738,0.322791370371364,11.494488653568,0.944861851972222,0.364167782640265,0.597551504907876
"ACINU_MOUSE",-0.1751081086024,0.260620748311403,11.965739553627,-0.67188859573518,0.514418292816796,0.722291415820542
"ACL6A_MOUSE",0.1913117336643,0.134442517978603,12.7380791694687,1.42300022746337,0.178763516565971,0.39001472355738
"ACLY_MOUSE",-0.147543297568735,0.136098099104143,11.9212668227083,-1.08409521176217,0.29976102023929,0.532327224554845
"ACO11_MOUSE",0.697269036319031,0.2017948735931,12.3266545830009,3.45533572733373,0.00458468004292818,0.0439592276901111
"ACO13_MOUSE",0.0119390962050944,0.198191589129985,12.0444414602368,0.0602401759706566,0.952952367533849,0.979888066145084
"ACOC_MOUSE",0.605292381294795,0.141899911602451,12.824756003253,4.26562902301582,0.000947707463859307,0.0173276874794966
"ACOD1_MOUSE",2.18526983169409,0.680267975366476,10.2945132211535,3.21236617160588,0.00896656981054884,0.0645546126433132
"ACON_MOUSE",0.0500058029516862,0.207994686781151,13.2779033343365,0.240418655522204,0.813677883724082,0.914641421975676
"ACOT1_MOUSE",-0.568838042605257,0.209260996342102,12.6569774284476,-2.71831852351174,0.0179232481845237,0.0958434719176868
"ACOT2_MOUSE",-0.643974236822896,0.35390105431862,12.1396278257412,-1.81964486673476,0.093546857294868,0.260412758684032
"ACOT9_MOUSE",-0.0548720116931499,0.13037649487484,13.3845338867711,-0.420873499826992,0.680527003540055,0.834071125829338
"ACOX1_MOUSE",0.191994853630167,0.156045257017865,13.1498438090042,1.23037929700219,0.240111597161558,0.46689575091946
"ACOX2_MOUSE",-0.4147036293492,0.242078369086146,5.1348133291546,-1.71309659311867,0.145827160873292,0.344484859095406
"ACOX3_MOUSE",-0.283521698237253,0.217298326869257,12.9060320164386,-1.30475785212944,0.214761701757325,0.436985462643507
"ACPM_MOUSE",0.214511176743934,0.857540715245698,13.3845338867711,0.250146929388039,0.80627228677682,0.910281221321139
"ACS2L_MOUSE",-0.6059775670965,0.360197936082897,13.1492543992857,-1.68234602809339,0.116082483223425,0.299370614628833
"ACSA_MOUSE",0.41272461752169,0.130186544011662,13.3845338867711,3.17025557944544,0.00714781773213129,0.0563675037677866
