"Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"A0A075B6H7","N-T",-1.21435312330818,0.406323041858388,-2.98863957543272,5,0.0304950344524577,0.0880764767519088,NA,0.2,0.133333333333333
"A0A075B6J1","N-T",-0.599169824961956,0.500610471367457,-1.1968783300223,0,NA,NA,NA,0.755555555555556,0.0222222222222222
"A0A075B6R2","N-T",1.22987842265347,0.00152824239040887,804.766593553545,0,NA,NA,NA,0.6,0.0666666666666667
"A0A075B6S2;A0A0A0MRZ7;A2NJV5","N-T",0.367557038837812,0.387266207446105,0.949106923792116,3,0.412586198214568,0.53297712897732,NA,0.355555555555556,0.0222222222222222
"A0A0B4J2D5;P0DPI2","N-T",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A0A0C4DH31","N-T",-0.881783471069651,0.542402937707528,-1.62569818444664,3,0.202485568383484,0.317095906332144,NA,0.36,0.16
"A0A0C4DH34","N-T",-0.572249206787651,0.352340696310144,-1.62413599331692,1,0.351345612663703,0.475137478060167,NA,0.6,0.133333333333333
"A0FGR8","N-T",-0.638655458359216,0.340627702950814,-1.87493692622951,6,0.10992390175387,0.206287600661448,NA,0.353333333333333,0.353333333333333
"A6NHL2;P68363;P68366;Q71U36;Q9BQE3","N-T",-0.895263021091686,0.397267485883681,-2.25355221079889,2,0.152973338208936,0.258287538376115,NA,0.522222222222222,0.122222222222222
"A6NMY6;P07355","N-T",-0.579190034030723,0.523420265892586,-1.10654873678426,6,0.310870000571591,0.432944072018375,NA,0.125,0.125
"A6NMZ7","N-T",1.38439416088256,0.238693934877453,5.79987154509525,3,0.0101996552555743,0.0420481514382223,NA,0.655555555555556,0.388888888888889
"A7E2Y1","N-T",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A8K2U0","N-T",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"B0I1T2","N-T",-1.36058369604089,0.3902473941415,-3.48646452600668,4,0.0252035766545848,0.0772660496169158,NA,0.45,0.25
"O00116","N-T",-0.858127292926594,0.300850758736261,-2.85233547866457,3,0.064984281317801,0.147617354893027,NA,0.655555555555556,0.388888888888889
"O00148","N-T",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"O00151","N-T",-0.490752975489211,0.424012891714196,-1.15740107218249,6,0.291098168261547,0.411880680056189,NA,0.204444444444444,0.204444444444444
"O00154","N-T",-0.950917301001926,0.567793463358657,-1.67475915516354,3,0.192575002401474,0.305543890871637,NA,0.388888888888889,0.122222222222222
"O00159","N-T",1.66962360586048,0.514313024989341,3.24631795178644,6,0.0175471965998764,0.0604542701905264,NA,0.547619047619048,0.547619047619048
"O00161","N-T",0.580463650673247,0.463739096031453,1.25170307106019,1,0.429130670479607,0.545132639738064,NA,0.666666666666667,0.0666666666666667
"O00203","N-T",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"O00244","N-T",-0.616208462958489,0.451059652604933,-1.36613518721925,5,0.230132877836028,0.347964758859699,NA,0.388888888888889,0.255555555555556
"O00264","N-T",-0.69056814598575,0.247125006223153,-2.79440820878389,5,0.038245228690553,0.103634542912416,NA,0.373333333333333,0.24
"O00299","N-T",-0.865726109744722,0.151757855320598,-5.70465435160389,6,0.00125489897066933,0.0157899027005088,NA,0.222222222222222,0.222222222222222
"O00303","N-T",-0.991031885688876,0.238188699764436,-4.16070068256381,6,0.00593975841065308,0.0305772284798344,NA,0.327272727272727,0.327272727272727
"O00330","N-T",-0.15005520367238,0.377948278732522,-0.397025762825541,1,0.759396080571336,0.82161429522639,NA,0.55,0.15
"O00391","N-T",-0.11943542036276,0.30878496746296,-0.386791563540369,5,0.714824715787999,0.792606409000179,NA,0.388888888888889,0.255555555555556
"O00410","N-T",-1.99749626750203,0.254849841887164,-7.83793410547389,5,0.000542483203148425,0.0113498027381186,NA,0.469333333333333,0.336
"O00468","N-T",1.83162450364026,0.676930999120542,2.70577725945463,6,0.03530369944689,0.097489414312309,NA,0.423188405797101,0.356521739130435
"O00469","N-T",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"O00471","N-T",NA,NA,NA,NA,NA,NA,NA,NA,NA
"O00479","N-T",-1.27516547057843,0.301871874591074,-4.22419436161722,5,0.00829433626426734,0.0369289371519841,NA,0.547619047619048,0.414285714285714
"O00499","N-T",NA,NA,NA,NA,NA,NA,NA,NA,NA
"O00505","N-T",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"O00506;Q9Y6E0","N-T",-0.428559363168532,0.369321914197036,-1.16039516393249,5,0.298277551893801,0.420260581879582,NA,0.3,0.166666666666667
"O00534","N-T",-0.235318977715077,0.440797690176765,-0.533848028152578,3,0.630470247384944,0.722320228001594,NA,0.48,0.146666666666667
"O00567","N-T",-1.29174301392361,0.585023382326767,-2.20801946203597,2,0.157915849860676,0.263827539346997,NA,0.642424242424242,0.309090909090909
"O00754","N-T",-0.632432599645647,0.439945133683882,-1.43752607137615,2,0.287136554769457,0.409088480246719,NA,0.559259259259259,0.225925925925926
"O00764","N-T",-0.751180514512684,0.600006198449389,-1.2519545905592,2,0.337153048012087,0.461551996663661,NA,0.5,0.166666666666667
"O14558","N-T",NA,NA,NA,NA,NA,NA,NA,NA,NA
"O14579","N-T",-1.63992866979726,0.0482831614628926,-33.9648154783238,1,0.0187380943715838,0.0627639411011152,NA,0.566666666666667,0.166666666666667
"O14618","N-T",0.71958730440133,0.254331924069552,2.82932355831408,5,0.0367038982837264,0.1002085675784,NA,0.311111111111111,0.244444444444444
"O14653","N-T",-0.38556796310748,0.16000429589575,-2.40973506960523,0,NA,NA,NA,0.577777777777778,0.0444444444444444
"O14734","N-T",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"O14773","N-T",0.381921562878311,0.894272159567818,0.427075313473793,1,0.743042980357381,0.810236015506503,NA,0.493333333333333,0.0933333333333333
"O14791","N-T",0.660426395208812,0.461851136564297,1.42995511523846,2,0.288990501662929,0.410651728119497,NA,0.48,0.146666666666667
"O14818","N-T",-0.968731006366595,0.173737684757272,-5.57582546193131,5,0.00255647213790211,0.0204376529477589,NA,0.427777777777778,0.294444444444444
"O14818;Q8TAA3","N-T",-0.646507169573799,0.42591419041666,-1.5179282215071,0,NA,NA,NA,0.533333333333333,0.0666666666666667
"O14933","N-T",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"O14950;P19105","N-T",-1.11373026853455,0.261731089011405,-4.25524637803352,3,0.02379304666479,0.0743596944361795,NA,0.266666666666667,0
"O14974","N-T",0.591438721554944,0.25963398188185,2.27797115488559,3,0.107135196116718,0.203808429439175,NA,0.666666666666667,0.333333333333333
