"","logFC","se","df","t","pval","adjPval"
"1433B_MOUSE",-0.141343943691238,0.161628791453703,13.0082649472125,-0.874497312143334,0.397705933219161,0.534353026432759
"1433E_MOUSE",-0.0893360997444458,0.111488518292134,13.5794509054978,-0.80130313966823,0.436753348689701,0.569779005702672
"1433F_MOUSE",-0.276279377906633,0.149435051581303,12.9406942874946,-1.84882579410305,0.0874538679991941,0.177606225623744
"1433G_MOUSE",0.163014590472315,0.179065238918821,13.2626932502725,0.910364241862806,0.378878674859021,0.517085294280434
"1433S_MOUSE",0.125351685878385,0.398141328433806,13.4852961259647,0.314842185239823,0.757700141291659,0.835472572028297
"1433T_MOUSE",-0.232111181266704,0.154892405741449,13.2252269341297,-1.49853170757868,0.157480804585846,0.275208601282595
"1433Z_MOUSE",-0.0555137393243266,0.125529793191333,13.1106827676049,-0.442235567453793,0.665526232848159,0.765111313095168
"2A5A_MOUSE",0.262775834196734,0.220325939733973,13.3265733252499,1.1926686186566,0.253802652428334,0.386955887372791
"2A5B_MOUSE",0.0826907800053107,0.13865651549281,13.1644986786799,0.596371398137427,0.561042704607426,0.682643164491913
"2A5E_MOUSE",0.171412881374324,0.111335960783946,13.318714828535,1.53960032470516,0.147073215023597,0.260725771549798
"2A5G_MOUSE",0.0507171566141446,0.247610534233981,13.3625754394782,0.204826328455877,0.840794876109571,0.893571629761207
"2AAA_MOUSE",-0.0739734206308756,0.10331956512628,13.4324206601249,-0.715967208538512,0.486272764778874,0.614992418448802
"2ABA_MOUSE",-0.598417872317019,0.247301820729684,11.755325691071,-2.41978757192866,0.0327149411969788,0.0859341878659258
"3HAO_MOUSE",NA,NA,NA,NA,NA,NA
"3HIDH_MOUSE",0.114654848769,0.160316431156978,12.9123204528899,0.715178400252266,0.487229629047336,0.616023824820943
"4F2_MOUSE",0.761564295886472,0.125744579633807,11.8825299199626,6.05643836183078,5.94504359528789e-05,0.00119232569617083
"5HT2B_MOUSE",1.00963456328139,0.144892278642834,12.769735118185,6.96817368557079,1.07792134398735e-05,0.000415338905494777
"5NT3A_MOUSE",0.280093326347269,0.138404968442461,13.1014943064577,2.02372306066246,0.0638890544511495,0.140694416329039
"5NT3B_MOUSE",-0.405711932390868,0.401250662990037,13.284594024066,-1.01111841004221,0.330022422585716,0.467898901924469
"5NTC_MOUSE",0.148938945548007,0.199497728958842,13.3661080640992,0.746569629264974,0.468252663624573,0.598999369591467
"5NTD_MOUSE",0.35437627214637,0.187836325320982,13.0785004246692,1.88662268355601,0.081609077101434,0.168073696472015
