specie	ProteinName	LT	Ctrl	p	q	log2(A,B)
MOUSE	1433B_MOUSE	25.322190264348933	25.705244749969157	0.7536730257754806	0.7142640516738812	-0.3830544856202245
MOUSE	1433B_MOUSE;1433E_MOUSE;1433F_MOUSE;1433G_MOUSE;1433Z_MOUSE	26.360456696925745	26.862392198459816	0.15934619931354768	0.23380317746054113	-0.5019355015340707
MOUSE	1433B_MOUSE;1433G_MOUSE	22.7719775427066	23.805686592144617	0.07197915883392485	0.13203269200148038	-1.0337090494380163
MOUSE	1433E_MOUSE	26.617698747911096	26.99442690777499	0.6529479837843344	0.6457890141966166	-0.3767281598638945
MOUSE	1433E_MOUSE;1433S_MOUSE;1433T_MOUSE;1433Z_MOUSE	26.793862808632444	26.586148531976107		1.0	0.20771427665633624
MOUSE	1433F_MOUSE	24.343108667987416	24.889502276886542	0.11996958626046546	0.19196670625270307	-0.5463936088991268
MOUSE	1433G_MOUSE	26.376764948761572	26.57686174472451	0.3921527362802184	0.4474452037489976	-0.2000967959629385
MOUSE	1433T_MOUSE	23.64685254518636	24.348725827363726	0.02217513681788049	0.061610234289014416	-0.7018732821773668
MOUSE	1433Z_MOUSE	27.109046468421464	27.507153167374398	0.6400435981499626	0.6373528725836506	-0.39810669895293316
MOUSE	2A5A_MOUSE	20.233540041488485	20.590939054997094	0.8860860821270125	0.7993843211776961	-0.3573990135086085
MOUSE	2A5B_MOUSE	22.941345064019515	23.240416958377576	0.8627389635936953	0.7861733319711676	-0.29907189435806103
MOUSE	2A5E_MOUSE	22.346655491332672	22.591131300514455	0.6541761006504572	0.646008041907664	-0.24447580918178247
MOUSE	2A5G_MOUSE	21.139556289909304	21.506270325985433	0.8879862326502572	0.79998273772096	-0.36671403607612874
MOUSE	2AAA_MOUSE	25.781108926431042	26.257282140306586	0.24084974260404307	0.3167934371714801	-0.4761732138755441
MOUSE	2ABA_MOUSE	21.929804106041274	22.81609417060449	0.031889260938433285	0.07714781695194912	-0.8862900645632159
MOUSE	2ABA_MOUSE;2ABD_MOUSE	21.598117115082136	22.300230213702335	0.26809134111979743	0.34065534109348733	-0.7021130986201989
MOUSE	3HIDH_MOUSE	23.656845791526287	24.01322488079246	0.7283964659510691	0.6965741743369108	-0.35637908926617357
MOUSE	4F2_MOUSE	25.126475515309462	24.93508438262502	0.0008131933498961537	0.010945696331345888	0.19139113268444063
MOUSE	5NT3A_MOUSE	22.671038117388406	22.94690330434026	0.7593505743759684	0.7170957863088023	-0.27586518695185447
MOUSE	5NTC_MOUSE	20.563747001504268	20.94275489570632	0.8362792082834853	0.7679914673396172	-0.3790078942020507
MOUSE	5NTD_MOUSE	22.88727803921765	22.776811220765797	0.11056973311606974	0.18131064008430786	0.11046681845185446
MOUSE	6PGD_MOUSE	24.02246636365898	24.90371538469337	0.0013292457839313937	0.013391687382876345	-0.8812490210343888
MOUSE	6PGL_MOUSE	24.981414062798606	25.7028252872599	0.004989339114052717	0.02534787196834311	-0.721411224461292
MOUSE	A16A1_MOUSE	20.132264285590956	21.364480231082435	0.00016244521047899233	0.007833239557658783	-1.232215945491479
MOUSE	A1AG1_MOUSE	22.663428200784725	21.780838380597146	0.02038750965371843	0.0582945035162471	0.8825898201875795
MOUSE	A1AT1_MOUSE;A1AT3_MOUSE	23.996523621380145	24.865587405477275	0.15819735094515994	0.23295851738694656	-0.8690637840971291
MOUSE	A1AT2_MOUSE	25.137691427313815	25.1956518648146	0.3314727854909294	0.3987523372732029	-0.05796043750078539
MOUSE	A1AT2_MOUSE;A1AT4_MOUSE	26.819877650070314	27.406892686763143	0.38643697946697386	0.44260222847239283	-0.5870150366928293
MOUSE	A1AT2_MOUSE;A1AT4_MOUSE;A1AT5_MOUSE	24.87829643261795	25.65865694779901	0.19746979921726268	0.272457352704351	-0.7803605151810586
MOUSE	A1AT4_MOUSE	25.405085155898476	25.79269587228351	0.796917542585256	0.7435130136929444	-0.3876107163850335
MOUSE	A1AT5_MOUSE	24.25895849105881	25.587743592919555	0.20840837389099628	0.2839691618386296	-1.3287851018607455
