"Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"1433B_MOUSE;1433G_MOUSE","LT-Ctrl",-0.687040187387961,0.321563044348383,-2.13656450721874,0,NA,NA,NA,0.685185185185185,0.0185185185185185
"1433B_MOUSE;1433G_MOUSE","ST-Ctrl",0.620339974365192,0.429605991973198,1.4439742134786,0,NA,NA,NA,0.8,0
"1433B_MOUSE;1433G_MOUSE","ST-LT",1.30738016175315,0.321563044348383,4.06570401895043,0,NA,NA,NA,0.685185185185185,0.0185185185185185
"1433F_MOUSE","LT-Ctrl",-0.475045027211658,0.469104122574162,-1.01266436245517,3,0.385798636138581,0.615241557348237,NA,0.444444444444444,0
"1433F_MOUSE","ST-Ctrl",-0.565371910656954,0.429941030102388,-1.31499873487839,3,0.279993559715725,0.601421594822623,NA,0.3,0
"1433F_MOUSE","ST-LT",-0.0903268834452968,0.37528329805933,-0.240689857268886,3,0.825306536419598,0.92538363112064,NA,0.111111111111111,0
"1433G_MOUSE","LT-Ctrl",-0.750490425662944,0.461376670504077,-1.62663280057701,2,0.245337108983507,0.501434665999503,NA,0.333333333333333,0.111111111111111
"1433G_MOUSE","ST-Ctrl",-0.281554386201124,0.523151970377476,-0.538188522921879,2,0.644327590428344,0.817158769794152,NA,0.533333333333333,0.133333333333333
"1433G_MOUSE","ST-LT",0.46893603946182,0.55145059626592,0.850368179193498,2,0.48468459105078,0.748388669525659,NA,0.555555555555556,0.111111111111111
"1433T_MOUSE","LT-Ctrl",0.524511314731768,0.480243149509284,1.09217865006032,3,0.354614654909873,0.596077853840341,NA,0.355555555555556,0.244444444444444
"1433T_MOUSE","ST-Ctrl",-0.366937306884905,0.568476628285103,-0.645474745359062,3,0.564588466940604,0.775423083239445,NA,0.5,0.2
"1433T_MOUSE","ST-LT",-0.891448621616673,0.641813518892375,-1.38895270257802,3,0.258996800261944,0.602494895022128,NA,0.511111111111111,0.0666666666666667
"2A5A_MOUSE","LT-Ctrl",0.638902510979955,0.185374052817072,3.44655846528007,2,0.0748540863209952,0.31663278513781,NA,0.511111111111111,0.0666666666666667
"2A5A_MOUSE","ST-Ctrl",0.408292384784265,0.169737233814344,2.40543795612252,2,0.137948354547263,0.492681690463479,NA,0.42,0.12
"2A5A_MOUSE","ST-LT",-0.23061012619569,0.200504670231191,-1.15014840267703,2,0.369043995600192,0.679580517908518,NA,0.4,0.0666666666666667
"2A5A_MOUSE;2A5E_MOUSE","LT-Ctrl",0.109326460386409,0.164434332347656,0.66486395405106,1,0.626461099301162,0.779964812374957,NA,0.481481481481482,0.037037037037037
