"","logFC","se","df","t","pval","adjPval"
"1433B_MOUSE",0.0230493680210476,0.148276602619996,13.0082649472125,0.155448449814558,0.878854051168397,0.942811060860863
"1433E_MOUSE",0.129279608399343,0.105012202828453,13.5794509054978,1.23109129146193,0.239185587865818,0.471211742030761
"1433F_MOUSE",-0.500994600325012,0.137162412769549,12.9406942874946,-3.6525647967913,0.00294362641299219,0.0413206051570953
"1433G_MOUSE",0.0871427998325439,0.164753350696215,13.2626932502725,0.528928847057103,0.605594424504655,0.785189687636176
"1433S_MOUSE",0.153540177726674,0.375598816674438,13.4852961259647,0.408787703555947,0.68911314767577,0.836422269893214
"1433T_MOUSE",-0.0733419077166937,0.14347381453834,13.2252269341297,-0.511186713427033,0.617647221933287,0.792891196631905
"1433Z_MOUSE",-0.00855328683660376,0.116996917456675,13.1106827676049,-0.0731069418112754,0.942824602807937,0.975920353204674
"2A5A_MOUSE",0.292622963629322,0.204394042143447,13.3265733252499,1.43166092592833,0.175274609323723,0.393022192595853
"2A5B_MOUSE",0.0413622067106058,0.126574698963573,13.1644986786799,0.326781000067868,0.748970987342907,0.868763632762457
"2A5E_MOUSE",0.182295412045103,0.106481633320584,13.318714828535,1.71198925448736,0.110070370996841,0.297256127066703
"2A5G_MOUSE",0.203048887568413,0.23315646006712,13.3625754394782,0.870869661985607,0.399200983708891,0.625172020713728
"2AAA_MOUSE",0.0601318877266696,0.0962972281585049,13.4324206601249,0.624440483662653,0.542799605169824,0.741667413730581
"2ABA_MOUSE",-0.71102930071445,0.256090968960531,11.755325691071,-2.77647159367043,0.0170446669668299,0.102906626273897
"3HAO_MOUSE",NA,NA,NA,NA,NA,NA
"3HIDH_MOUSE",0.0717637384259123,0.152381275843727,12.9123204528899,0.470948533726078,0.645534416642863,0.807289118904458
"4F2_MOUSE",0.200917747555886,0.114340759960003,11.8825299199626,1.7571839440823,0.104595636773914,0.28877782819134
"5HT2B_MOUSE",0.511836204748057,0.141201260276516,12.769735118185,3.62486994624355,0.00316640232888484,0.0425784947355309
"5NT3A_MOUSE",-0.0627730076888066,0.125937267023266,13.1014943064577,-0.498446640716838,0.626432182309497,0.797046065102848
"5NT3B_MOUSE",-0.336442214470193,0.369813712055811,13.284594024066,-0.909761329832515,0.37915888770013,0.608660076338958
"5NTC_MOUSE",-0.261406120344123,0.188331486795609,13.3661080640992,-1.38801070809694,0.187836486110992,0.408450395345121
"5NTD_MOUSE",0.0715874519615205,0.170248382902029,13.0785004246692,0.420488293288025,0.680955633408109,0.829970181250938
"6PGD_MOUSE",-0.163112174991179,0.109686572273166,13.581603710518,-1.48707514156757,0.159839246821037,0.370284473399005
"6PGL_MOUSE",-0.177826955027721,0.128343430854751,12.7837465212228,-1.38555556636921,0.189580915899466,0.41128673166119
"A16A1_MOUSE",-0.50090767052271,0.135186889985609,13.2373649761842,-3.70529768512342,0.0025684422765922,0.0392233031324031
"A16L1_MOUSE",0.0391676257768418,0.137206723298273,12.3011609918132,0.285464333199587,0.780038273598531,0.887288773940828
"A1AG1_MOUSE",-0.274497406894361,0.386617191020694,12.4665054069063,-0.709997934053761,0.490773665913559,0.70256198204392
"A1AT1_MOUSE;A1AT3_MOUSE",0.287761313219575,0.208369969595023,11.3741000001786,1.38101144698947,0.193805747649371,0.416967890776018
"A1AT2_MOUSE",0.379644432639043,0.17555839844134,13.2030637893519,2.16249655960433,0.0494975844765575,0.190099452236659
"A1AT4_MOUSE",0.239096242931966,0.164055583090518,12.1349331237572,1.457409973058,0.170390900977575,0.385960581807178
"A1AT5_MOUSE",0.235084279729233,0.635124971357714,13.5931478049176,0.370138618903128,0.716982569205054,0.852474522289244
"A2AP_MOUSE",0.0023034616040379,0.179585005871661,12.5132641356475,0.0128265808877388,0.989968391162427,0.995493351172807
"A4_MOUSE",0.0147503997163209,0.203066991143912,12.834256810166,0.0726380965868915,0.9432139211946,0.975920353204674
"A4GCT_MOUSE",0.105136961301733,0.123493379192805,13.2967407597413,0.851357068605169,0.409642040539682,0.634962924521844
"AAAS_MOUSE",-0.0519119006266122,0.283967855655706,13.5785185923248,-0.182809073607093,0.857649168266406,0.933347592759412
"AAAT_MOUSE",0.119623165320569,0.219888263255489,12.4024127601881,0.544017964167455,0.596073906553687,0.779802173943275
"AACS_MOUSE",-0.164344858643121,0.155495908083872,12.9759114555106,-1.05690793197257,0.309834187674845,0.543235778670114
"AAK1_MOUSE",-0.0206090772906953,0.171155401225569,11.4650107263213,-0.120411492381325,0.906241526173325,0.958140907280504
"AAKB2_MOUSE",0.108568522211884,0.236141071566936,12.1561587200143,0.459761283759183,0.653801869374092,0.813378089968447
"AAKG1_MOUSE",0.302387572781125,0.382572983599458,10.5931478049176,0.790404931200567,0.446625174819535,0.66488672887279
"AAKG2_MOUSE",0.414241442482767,0.236854452636553,11.715184108654,1.74892824632015,0.106427208606772,0.291520718534258
"AAMDC_MOUSE",0.136620480324082,0.171966358665224,13.1876760754249,0.794460506022856,0.440990597936093,0.662209397687047
"AAPK1_MOUSE",-0.0204740414573827,0.159743603563248,12.3665608631304,-0.128168145707795,0.900076671013845,0.954187450918262
"AAPK2_MOUSE",0.6901087211148,0.180247048706622,13.0848373284332,3.82868250030573,0.00206719742923247,0.0340141323478991
"AASD1_MOUSE",-0.139971254433528,0.160503042864885,13.5931478049176,-0.872078509759839,0.398307882117252,0.625172020713728
"AATC_MOUSE",0.295572402466814,0.117368894521529,12.9721151583837,2.5183197274862,0.0257188474556568,0.127584049002425
"AATM_MOUSE",-0.0608979808393938,0.154340765214951,12.1327249580881,-0.394568348514929,0.70000954925398,0.841708498074435
"AB1IP_MOUSE",NA,NA,NA,NA,NA,NA
"ABC8A_MOUSE",-0.191880533032508,0.310663593782454,13.4777480984587,-0.617647310057433,0.547102634106747,0.745226153066472
"ABC8B_MOUSE",0.193685580554462,0.160174695614373,12.7812931049164,1.20921460041833,0.248473676747908,0.482951751141523
"ABCA2_MOUSE",-0.489234267680203,0.299519023760134,13.1760271877748,-1.63339964700205,0.126041289069176,0.321501606888788
"ABCA6_MOUSE",0.406373028785064,0.203433912177041,13.3600177455164,1.99756778226539,0.0665454342660826,0.22362340182866
"ABCA7_MOUSE",0.304481897127907,0.382077469429951,10.5450953514414,0.796911415850261,0.443075382533139,0.662209397687047
"ABCA9_MOUSE",0.0108656937551675,0.138592047155204,12.6746726961096,0.0784005574504531,0.93873363452329,0.974389665510291
"ABCB6_MOUSE",-0.274759637965232,0.467162740284007,10.1673707381368,-0.588145445414149,0.569267753702445,0.762450046733025
"ABCB7_MOUSE",0.156235237893765,0.140106549984207,10.7145084277509,1.11511730116383,0.289186820283854,0.524423548263905
"ABCB9_MOUSE",0.238512278956706,0.166334273999654,13.0727476987642,1.43393344751787,0.175075917897737,0.392953777298812
"ABCBA_MOUSE",NA,NA,NA,NA,NA,NA
"ABCBB_MOUSE",0.221231552938202,0.141469842687484,13.4163910619666,1.56380716013742,0.141136587945709,0.344324087745305
"ABCD1_MOUSE",0.0109927649570566,0.26559653192692,12.5545080151706,0.0413889627146233,0.967636785381514,0.985134356881877
"ABCD2_MOUSE",0.0388639724282125,0.349623080116171,13.2689784360727,0.111159630580736,0.91315363232245,0.961478641238264
"ABCD3_MOUSE",0.1564386935753,0.208776731624166,12.1230760398722,0.749310961802565,0.46796108580474,0.683155936883958
"ABCE1_MOUSE",-0.0829921340841346,0.137050508805902,12.9103119032515,-0.605558744781259,0.555304385854162,0.75237384607031
"ABCF1_MOUSE",-0.392625575042709,0.131996478562527,12.7202660798811,-2.97451552737236,0.0109748273556454,0.0803845897067884
"ABCF2_MOUSE",-0.0450674182749022,0.120581249553393,11.9725003495369,-0.373751461705881,0.715123738305319,0.851407192127581
"ABCF3_MOUSE",-0.108661467295913,0.228545079797379,12.9662450371278,-0.475448727193115,0.642376959877005,0.807159863808885
"ABCG2_MOUSE",0.256673391298377,0.195973423462041,11.7839808973936,1.30973571193491,0.215244665788539,0.443491324175416
"ABD12_MOUSE",0.0370320129833758,0.133743670496819,13.0072717532872,0.276887966703865,0.786217393625793,0.890449316629503
"ABEC2_MOUSE",0.233672446563294,0.4795475275321,12.5014874294877,0.487276929079054,0.634494757314819,0.801298633637183
"ABHD4_MOUSE",-0.236188454819684,0.130265048951804,13.5931478049176,-1.81313757389421,0.0919450133021227,0.266207588079814
"ABHD5_MOUSE",-0.0311952387838075,0.172271402736597,10.8647640038217,-0.181081934019572,0.859637028710516,0.934640259461201
"ABHD6_MOUSE",-0.132379734935347,0.244015772336782,11.3049463427026,-0.542504829370787,0.598002824924253,0.780706242259031
"ABHDA_MOUSE",-0.164379054329495,0.170339642758516,12.8192044442308,-0.965007626337041,0.352393698876529,0.584699507541539
"ABHEB_MOUSE",0.0379863072005537,0.122541931926866,12.5045574111513,0.309986194955896,0.761676958119195,0.874719542867322
