"","logFC","se","df","t","pval","adjPval"
"1433B_MOUSE",0.164393311712286,0.162546343973511,13.0082649472125,1.01136271474107,0.330285827736736,0.56473679949278
"1433E_MOUSE",0.218615708143788,0.111488518292134,13.5794509054978,1.96088091843636,0.0707332874825449,0.22906212917944
"1433F_MOUSE",-0.224715222418379,0.147716470384717,12.9406942874946,-1.52126043787212,0.15224779860872,0.363319183171383
"1433G_MOUSE",-0.0758717906397711,0.179065238918821,13.2626932502725,-0.423710325342192,0.678568174208808,0.837515272104179
"1433S_MOUSE",0.0281884918482891,0.396205018744306,13.4852961259647,0.0711462261069458,0.944325716761461,0.979324028945031
"1433T_MOUSE",0.15876927355001,0.154882075457392,13.2252269341297,1.02509779185963,0.323702422826155,0.558796240068941
"1433Z_MOUSE",0.0469604524877229,0.124860836717459,13.1106827676049,0.376102336988076,0.71285657444725,0.857892880701324
"2A5A_MOUSE",0.0298471294325875,0.219949584243091,13.3265733252499,0.135699867473267,0.894086941517808,0.950857596202256
"2A5B_MOUSE",-0.0413285732947049,0.13865651549281,13.1644986786799,-0.298064415853924,0.770306251290793,0.887485481331824
"2A5E_MOUSE",0.0108825306707792,0.112763636906416,13.318714828535,0.096507446632027,0.924554662178088,0.969578980331733
"2A5G_MOUSE",0.152331730954269,0.245405344796387,13.3625754394782,0.620735180322411,0.545216500734314,0.745757976247573
"2AAA_MOUSE",0.134105308357545,0.10331956512628,13.4324206601249,1.29796624863488,0.216144855329842,0.442959969567637
"2ABA_MOUSE",-0.112611428397431,0.266363980764148,11.755325691071,-0.422772734039977,0.680091602931775,0.838083552649179
"3HAO_MOUSE",NA,NA,NA,NA,NA,NA
"3HIDH_MOUSE",-0.0428911103430881,0.163735532530942,12.9123204528899,-0.261953588693295,0.797489559280831,0.899292642499837
"4F2_MOUSE",-0.560646548330586,0.12997750180353,11.8825299199626,-4.31341224866778,0.00103041181568524,0.0182284824789893
"5HT2B_MOUSE",-0.497798358533329,0.149540660467419,12.769735118185,-3.32884953816148,0.00555910201670988,0.0493440375597542
"5NT3A_MOUSE",-0.342866334036075,0.138489878390608,13.1014943064577,-2.47575012716112,0.0277070146287846,0.129087616510778
"5NT3B_MOUSE",0.0692697179206741,0.401250662990037,13.284594024066,0.172634525771224,0.865541143024751,0.937569253906968
"5NTC_MOUSE",-0.41034506589213,0.197421767973593,13.3661080640992,-2.07851986183721,0.0574541864872142,0.200823367804582
"5NTD_MOUSE",-0.282788820184849,0.187836325320982,13.0785004246692,-1.50550656110637,0.155958681663296,0.368636782707427
"6PGD_MOUSE",0.316802131995766,0.116332708381496,13.581603710518,2.72324212513698,0.0168532369562263,0.0932013920667994
"6PGL_MOUSE",0.254119407585763,0.141110253623862,12.7837465212228,1.80085713872454,0.0953503138527209,0.274705312351273
"A16A1_MOUSE",0.220402098012469,0.143093177460832,13.2373649761842,1.54026978730554,0.147052668169119,0.356050320390825
"A16L1_MOUSE",0.393947411509728,0.144950393772876,12.3011609918132,2.71780849472549,0.0183317095499795,0.0986913349390024
"A1AG1_MOUSE",-0.975136907860435,0.404225151347555,12.4665054069063,-2.41236079598127,0.0320782648282268,0.141283441604433
"A1AT1_MOUSE;A1AT3_MOUSE",0.89251927219101,0.246200172915854,11.3741000001786,3.62517727595608,0.00378490249851762,0.0386175750558359
"A1AT2_MOUSE",-0.0409743172892134,0.191440894019134,13.2030637893519,-0.214031163504272,0.833792751194468,0.920603788469399
"A1AT4_MOUSE",-0.051776344285332,0.175118433976701,12.1349331237572,-0.295664728775617,0.772484461304626,0.888170040017448
"A1AT5_MOUSE",1.93606287599538,0.673651761221927,13.5931478049176,2.87398176245185,0.0125599067685454,0.0781523892535456
"A2AP_MOUSE",0.121047292577802,0.200495535835177,12.5132641356475,0.603740587407955,0.556802935065016,0.754185540741686
"A4_MOUSE",-0.349302739457006,0.213952895803626,12.834256810166,-1.63261515178373,0.126829936901671,0.328716747166672
"A4GCT_MOUSE",0.0649112014667713,0.130762038328577,13.2967407597413,0.496407078816432,0.627712291942748,0.802176602513044
"AAAS_MOUSE",-0.450528027179321,0.300972679809738,13.5785185923248,-1.49690672078318,0.157297538996494,0.37003775542692
"AAAT_MOUSE",0.112943614740205,0.228222718969125,12.4024127601881,0.494883310699163,0.629333284145587,0.802224269830971
"AACS_MOUSE",1.91027807619888,0.173085923763005,12.9759114555106,11.0365882716985,5.7673705840877e-08,6.73773068486046e-05
"AAK1_MOUSE",0.213207585651913,0.223367941592203,11.4650107263213,0.954512917709381,0.359516749661997,0.593647268964844
"AAKB2_MOUSE",-0.148518725079623,0.279588746793326,12.1561587200143,-0.531204230438535,0.604847851125689,0.787532462610851
"AAKG1_MOUSE",-0.175311320161817,0.413226050820721,10.5931478049176,-0.424250406801861,0.679870558459427,0.838083552649179
"AAKG2_MOUSE",0.0736923341066285,0.266641913967368,11.715184108654,0.276371906464965,0.787077605034451,0.89515806716878
"AAMDC_MOUSE",-0.204643110660697,0.188026286083906,13.1876760754249,-1.08837500821228,0.295920345644601,0.533494631461706
"AAPK1_MOUSE",0.149519875127779,0.189106768832566,12.3665608631304,0.790663793003428,0.444039303913177,0.665275943310765
"AAPK2_MOUSE",0.842279648834169,0.195615357412444,13.0848373284332,4.30579510717183,0.000841818434978401,0.0160563981496084
"AASD1_MOUSE",0.291191809114417,0.170239185016253,13.5931478049176,1.71048639058403,0.109889377557688,0.30050561247789
"AATC_MOUSE",-0.609516869146731,0.127629627720075,12.9721151583837,-4.77566909842877,0.000364466065690553,0.00973228528555401
"AATM_MOUSE",-0.285464148658875,0.184726095431328,12.1327249580881,-1.5453374250797,0.147938932950654,0.356717561237568
"AB1IP_MOUSE",NA,NA,NA,NA,NA,NA
"ABC8A_MOUSE",-0.164088306390807,0.328890940711797,13.4777480984587,-0.498914035259474,0.625883802813682,0.801961889374372
"ABC8B_MOUSE",0.890036398395025,0.176657795958798,12.7812931049164,5.03819485330049,0.00023920770692006,0.00765121126451974
"ABCA2_MOUSE",1.14239414907603,0.321711827484659,13.1760271877748,3.55098585590705,0.00348176258115022,0.0365624191948651
"ABCA6_MOUSE",1.16735006449442,0.219452393656986,13.3600177455164,5.31937722364989,0.000126850864612024,0.00534030712010802
"ABCA7_MOUSE",0.473296297960495,0.411442029790966,10.5450953514414,1.15033531747098,0.275424217666376,0.511345796247507
"ABCA9_MOUSE",0.662486080692089,0.148615741918996,12.6746726961096,4.45771135774554,0.000685769358647554,0.0143704045424216
"ABCB6_MOUSE",0.493384176128153,0.795995089034997,10.1673707381368,0.619833191089525,0.549006016763963,0.749052588711825
"ABCB7_MOUSE",-0.000198632347802902,0.178108158585438,10.7145084277509,-0.00111523441363085,0.999130664610228,0.999558466222136
"ABCB9_MOUSE",-0.349765234459485,0.183607228477649,13.0727476987642,-1.90496440341434,0.0790196504107904,0.245010400892201
"ABCBA_MOUSE",NA,NA,NA,NA,NA,NA
"ABCBB_MOUSE",0.138801546565864,0.148695307438879,13.4163910619666,0.933462857413428,0.367077344553816,0.601878045999994
"ABCD1_MOUSE",0.769297342299239,0.306535719969234,12.5545080151706,2.50964991086993,0.026667360438265,0.125875328614154
"ABCD2_MOUSE",1.0013171539653,0.375215126537335,13.2689784360727,2.66864815181076,0.0190381866236506,0.100810639454421
"ABCD3_MOUSE",0.885727142020186,0.228659138080847,12.1230760398722,3.87356984485361,0.00217336897508463,0.0277490525152198
"ABCE1_MOUSE",0.0356071059545972,0.153451031219367,12.9103119032515,0.232042141858889,0.820142880777924,0.913314025148691
"ABCF1_MOUSE",0.435008244873823,0.142494647711283,12.7202660798811,3.05280410079135,0.00945368267711699,0.0671591469232351
"ABCF2_MOUSE",-0.00708144968904531,0.136445365123217,11.9725003495369,-0.0518995253715685,0.959464631422331,0.984752519797178
