Protein,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage
1433E_MOUSE;1433F_MOUSE;1433T_MOUSE;1433Z_MOUSE,ST-LT,-0.158262174842396,0.152406245330009,-1.0384231597577,7.0,0.333606406203542,0.588025993170409,,0.0,0.0
1433S_MOUSE,ST-LT,0.0704898942722423,0.493739278249246,0.142767443016065,7.0,0.890496438793956,0.941195042288194,,0.0888888888888889,0.0888888888888889
2A5A_MOUSE;2A5E_MOUSE,ST-LT,0.448316576472105,0.196256049401279,2.28434526140616,2.0,0.149750689793319,0.392405462505478,,0.37037037037037,0.037037037037037
5HT2B_MOUSE,ST-LT,-0.549018864870636,0.0952536816725204,-5.76375479908638,7.0,0.0006886211431593,0.0344609972076713,,0.0,0.0
5NT3B_MOUSE,ST-LT,-0.0940845222989956,0.266028819239205,-0.353662894749751,7.0,0.734003758745831,0.864232394516461,,0.0555555555555556,0.0555555555555556
A16L1_MOUSE,ST-LT,0.22522006672664,0.0894753370599071,2.51711895285565,7.0,0.0399785704177278,0.194827341149014,,0.0,0.0
A1AT2_MOUSE;A1AT5_MOUSE,ST-LT,0.583518329818046,0.312011224552124,1.87018377513712,7.0,0.103649844459772,0.325958937085239,,0.194444444444444,0.194444444444444
A1AT4_MOUSE;A1AT5_MOUSE,ST-LT,0.855302785061566,0.380542078183854,2.24759056644542,7.0,0.0594088928161098,0.239089635074624,,0.0,0.0
A4GCT_MOUSE,ST-LT,0.106530072141253,0.113426636234586,0.939198019774918,7.0,0.378897652367721,0.626297837090653,,0.0,0.0
AAKG1_MOUSE;AAKG2_MOUSE,ST-LT,-0.127316945376316,0.111108621439792,-1.1458781841273,7.0,0.289503735822439,0.549866006487833,,0.0,0.0
AAPK1_MOUSE;AAPK2_MOUSE,ST-LT,-0.473285201382246,0.156668598519369,-3.02093211948745,0.0,,,,0.533333333333333,0.2
AB1IP_MOUSE,ST-LT,-0.613573809837457,0.424403092185087,-1.44573359887272,3.0,0.244021287881152,0.496572370019816,,0.222222222222222,0.0
ABC8A_MOUSE,ST-LT,0.005541231184372,0.221589210985136,0.0250067733881852,7.0,0.980747505236932,0.990801406799863,,0.0,0.0
ABCB7_MOUSE,ST-LT,0.21712381495812,0.169062456387428,1.28428167671096,5.0,0.255328449189739,0.50757002593677,,0.222222222222222,0.0
ABCBA_MOUSE,ST-LT,0.482368971669023,0.497771553680926,0.96905692601756,4.0,0.38739195676816,0.63516829378939,,0.488888888888889,0.155555555555556
ABCBB_MOUSE,ST-LT,-0.0193640176513988,0.121152447017284,-0.159831832770462,7.0,0.877527801585193,0.935390124796022,,0.0,0.0
ABHD5_MOUSE,ST-LT,1.24639461763227,0.309440940082736,4.02789177572631,5.0,0.0100420977941695,0.0930405030592313,,0.377777777777778,0.155555555555556
ABHDB_MOUSE,ST-LT,,,,,,,,,
ABR_MOUSE;BCR_MOUSE,ST-LT,-0.235330461762897,0.226337243389475,-1.03973370992217,5.0,0.346105293806965,0.599950592126231,,0.277777777777778,0.0555555555555556
ABRX2_MOUSE,ST-LT,-0.0684307226985044,0.291141359298474,-0.235042945679011,7.0,0.820903080212225,0.919388857426893,,0.0888888888888889,0.0888888888888889
ABTB2_MOUSE,ST-LT,0.170055854283794,0.147798538914997,1.15059225572993,7.0,0.287683610766863,0.548218271511026,,0.296296296296296,0.296296296296296
ACACB_MOUSE,ST-LT,-0.330212724798215,0.125667688940352,-2.62766608968953,3.0,0.0784823329268682,0.281586731658715,,0.691358024691358,0.358024691358025
ACO13_MOUSE,ST-LT,0.141211689662405,0.186375241213812,0.757674081292834,7.0,0.47337563971481,0.703039175886124,,0.0185185185185185,0.0185185185185185
ACOD1_MOUSE,ST-LT,inf,,,,,0.0,oneConditionMissing,0.805555555555556,0.0277777777777778
ACOT2_MOUSE,ST-LT,-0.467683950896468,0.331494739050956,-1.41083370503982,7.0,0.201154460239696,0.449295601773256,,0.0740740740740741,0.0740740740740741
ACOX2_MOUSE,ST-LT,-0.531266035547644,0.202383782537107,-2.62504252508591,6.0,0.0393197454435732,0.19390037176137,,0.2,0.2
ACSL5_MOUSE,ST-LT,0.382507068389218,0.3253425275013,1.17570571338138,4.0,0.304912518042985,0.564027264947538,,0.527777777777778,0.194444444444444
ACTBL_MOUSE;ACTS_MOUSE,ST-LT,-0.52107573798032,0.767880107185166,-0.678589968804424,7.0,0.51919444653372,0.73595173394127,,0.0,0.0
ADA_MOUSE,ST-LT,-0.168874667772174,0.594943448849993,-0.28384994926594,1.0,0.823926772085431,0.919410023252072,,0.873015873015873,0.206349206349206
ADAM9_MOUSE,ST-LT,0.744968750965977,0.306617384702665,2.42963637462498,7.0,0.045444789430547,0.20593288438803,,0.0,0.0
ADAP2_MOUSE,ST-LT,0.0788317731814195,0.118365055667669,0.666005458593738,7.0,0.526738775944586,0.73872630246953,,0.0,0.0
