specie	ProteinName	ST	LT	p	q	log2(A,B)
MOUSE	1433B_MOUSE	25.890589127331538	25.322190264348933	0.2558241234950786	0.45314969783371734	0.5683988629826047
MOUSE	1433B_MOUSE;1433E_MOUSE;1433F_MOUSE;1433G_MOUSE;1433Z_MOUSE	26.843506336464074	26.360456696925745	0.2749197931711637	0.4773069574176202	0.48304963953832925
MOUSE	1433B_MOUSE;1433G_MOUSE	23.403908920040568	22.7719775427066	0.552330843280036	0.7161056346902294	0.6319313773339665
MOUSE	1433E_MOUSE	27.074959246360816	26.617698747911096	0.1913042433538841	0.3850471597518359	0.4572604984497204
MOUSE	1433E_MOUSE;1433S_MOUSE;1433T_MOUSE;1433Z_MOUSE	26.95348930280677	26.793862808632444	0.3549852342366507	0.5538753597377872	0.15962649417432573
MOUSE	1433F_MOUSE	24.739368925550988	24.343108667987416	0.5679942945350732	0.727973439766134	0.3962602575635721
MOUSE	1433G_MOUSE	26.607356551301834	26.376764948761572	0.4156840970844319	0.6069028193544185	0.23059160254026168
MOUSE	1433T_MOUSE	24.39633363891901	23.64685254518636	0.03031579330534034	0.1355597644659912	0.7494810937326513
MOUSE	1433Z_MOUSE	27.607857562650956	27.109046468421464	0.2876560244747729	0.4885927132885188	0.49881109422949166
MOUSE	2A5A_MOUSE	20.77335049426126	20.233540041488485	0.31304641297660907	0.5130258890653911	0.5398104527727732
MOUSE	2A5B_MOUSE	23.321298587056283	22.941345064019515	0.7067657641376992	0.8217846085019478	0.3799535230367681
MOUSE	2A5E_MOUSE	22.627350053566566	22.346655491332672	0.7820649297929053	0.8659720018329303	0.28069456223389366
MOUSE	2A5G_MOUSE	21.649695639132197	21.139556289909304	0.4123177880345751	0.6054700262870074	0.510139349222893
MOUSE	2AAA_MOUSE	26.36381823208316	25.781108926431042	0.05036936014491722	0.18158275135856972	0.58270930565212
MOUSE	2ABA_MOUSE	22.452138316755654	21.929804106041274	0.26559691774554894	0.46519985268149305	0.52233421071438
MOUSE	2ABA_MOUSE;2ABD_MOUSE	22.25488506179812	21.598117115082136	0.3830894716130019	0.5799706881832393	0.6567679467159842
MOUSE	3HIDH_MOUSE	23.980454954125396	23.656845791526287	0.9901069189737843	0.9645710079530135	0.32360916259910866
MOUSE	4F2_MOUSE	25.141496295671658	25.126475515309462	0.011595728940281297	0.08361804264518229	0.015020780362196007
MOUSE	5NT3A_MOUSE	22.783777983947157	22.671038117388406	0.28669532852019347	0.4885927132885188	0.11273986655875134
MOUSE	5NTC_MOUSE	20.698227295877825	20.563747001504268	0.5883578280741004	0.7402528346847987	0.13448029437355657
MOUSE	5NTD_MOUSE	22.892639086568117	22.88727803921765	0.17202855427191693	0.3628295074593035	0.005361047350465498
MOUSE	6PGD_MOUSE	24.7113626516187	24.02246636365898	0.01154368658999828	0.08361804264518229	0.688896287959718
MOUSE	6PGL_MOUSE	25.495559807758088	24.981414062798606	0.18505653543683778	0.3791446441172545	0.5141457449594817
MOUSE	A16A1_MOUSE	20.634957820908568	20.132264285590956	0.43737941134868363	0.6244324695359452	0.5026935353176114
MOUSE	A1AG1_MOUSE	21.939961036750766	22.663428200784725	0.03830457609796671	0.15563494547248943	-0.7234671640339592
MOUSE	A1AT1_MOUSE;A1AT3_MOUSE	25.194773283269807	23.996523621380145	0.02060665121788604	0.11011137961146547	1.1982496618896619
