"","logFC","se","df","t","pval","adjPval"
"A0A075B6H7",1.38197530086595,0.456777101928857,18.724755477311,3.02549163482628,0.00703963666436347,0.0248487413522519
"A0A075B6I0",0.937184428079704,0.393074584681057,15.9783231262235,2.38424071309556,0.029858417041815,0.0731512141278354
"A0A075B6J1",NA,NA,NA,NA,NA,NA
"A0A075B6K4",NA,NA,NA,NA,NA,NA
"A0A075B6Q5;P0DP02",0.561495723033696,0.797758869075995,13.724755477311,0.703841404714246,0.49330079090761,0.61465195429853
"A0A075B6R2",-1.04010367144376,0.743780055664415,10.2562737664292,-1.39840220710764,0.191494206724017,0.306697652243664
"A0A075B6R9;A0A0C4DH68",-0.0544892671660854,0.395431366125025,18.1382225465349,-0.137797028344123,0.891919026013591,0.93324955038847
"A0A075B6S2;A0A0A0MRZ7;A2NJV5",-0.140750689176027,0.447343854029146,14.5778180005715,-0.3146364656814,0.757495947035766,0.837948022188405
"A0A075B6S5",NA,NA,NA,NA,NA,NA
"A0A087WSX0",NA,NA,NA,NA,NA,NA
"A0A0B4J2A2;P0DN37",1.11901314641636,0.296677304150751,18.9083833588386,3.77181918117928,0.00129919732756593,0.00765542967119529
"A0A0B4J2D5;P0DPI2",0.118919461586916,0.361770075675716,17.9880770910821,0.328715583688887,0.74616666857892,0.829447954023466
"A0A0B4J2D9;P0DP09",1.51019414954157,0.543025538394729,9.70657960160168,2.78107389572496,0.0199385840475377,0.0538614900571841
"A0A0C4DH29",1.10986406682454,0.977428174582793,9.68176051197664,1.13549424467765,0.283495627312457,0.408864000775353
"A0A0C4DH31",1.10655882757925,0.812281254635529,15.724755477311,1.3622853183726,0.19230352465983,0.307413398819795
"A0A0C4DH33",0.52292639095708,0.540388824769835,12.724755477311,0.967685427580421,0.351234897704751,0.480107591224886
"A0A0C4DH34",0.332450282697536,0.321726647708513,18.0085023926033,1.03333151004246,0.315127106300067,0.444090509974083
"A0A0C4DH38",0.632374124032423,0.482091397110963,17.724755477311,1.31173077931293,0.206347964478044,0.321928944581251
"A0A0C4DH67",1.25608629499677,0.755460719359476,10.724755477311,1.66267585171305,0.125291512561935,0.222589966461384
"A0A0J9YVY3",0.0823129520123882,0.385727880549869,12.458606599638,0.213396428318969,0.834470064665539,0.893686622476707
"A0A0U1RRK4",NA,NA,NA,NA,NA,NA
"A0A2R8Y7D0",NA,NA,NA,NA,NA,NA
"A0A494C0N9;A0A494C0Y3",0.669301897416629,0.623384647065779,9.19252582353399,1.07365797436138,0.310350067600414,0.439662595767253
"A0AVI2",NA,NA,NA,NA,NA,NA
"A0AVT1",NA,NA,NA,NA,NA,NA
"A0FGR8",0.829343996959878,0.318344747847023,19.0143652355917,2.60517568632359,0.0173851065650796,0.0486980541851378
"A0PJZ3",0.835646308481192,0.399099094930178,14.5654906270853,2.0938316300301,0.0542092961634973,0.11569343293768
"A1A4S6",NA,NA,NA,NA,NA,NA
"A1KZ92",NA,NA,NA,NA,NA,NA
"A1L0T0",0.835585674049518,0.245583196816208,16.9107639308697,3.40245458517612,0.00341058941836368,0.0152175065591166
"A1L4H1",0.624992827776828,0.470478136689304,12.4105396079882,1.32842055568156,0.207950338525387,0.323405416066295
"A1X283",NA,NA,NA,NA,NA,NA
"A2RRP1",NA,NA,NA,NA,NA,NA
"A3KMH1",NA,NA,NA,NA,NA,NA
"A4D2H0;Q86UF2;Q8IX94;A4FU28;P0CG41",-1.62758658875484,0.82172223534416,11.724755477311,-1.98070165166354,0.0715750116531485,0.144320984642136
"A5PL33",NA,NA,NA,NA,NA,NA
"A6NCF6",-0.714087286047563,0.667130813972535,12.1062057787527,-1.07038570411014,0.305322515344887,0.434621751872077
"A6NCK2;Q96BQ3",NA,NA,NA,NA,NA,NA
"A6ND36",NA,NA,NA,NA,NA,NA
"A6NDG6",1.88622675056992,0.452543422768031,12.6508219853648,4.16805693259799,0.00116753187600437,0.00710608907247101
"A6NHL2",NA,NA,NA,NA,NA,NA
"A6NMZ7",-0.480867128560888,0.357258300396726,18.075168226503,-1.34599287973687,0.194945105548755,0.310526452457306
"A6NN73",0.205144072558196,0.362176312254678,12.5826094025392,0.566420457707739,0.581070830800102,0.693067547381735
"A7E2Y1",0.203926795274629,0.470902655956384,12.2382082712982,0.433055096834105,0.672508870941567,0.770157567849954
"A8K2U0",0.177380242711206,0.504920592738404,13.1092664495301,0.351303245029473,0.73094274829576,0.815615525438046
"A8MQ14",NA,NA,NA,NA,NA,NA
"A8MTA8",NA,NA,NA,NA,NA,NA
"A8TX70",1.41515806339444,0.641516270794256,8.88598260643779,2.20595817724521,0.05517789929002,0.117168862957559
"A9Z1Z3",0.299940005939365,0.298947502359305,16.1383148429868,1.00331999288245,0.330513883856379,0.458564760059648
"B0I1T2",0.826939975132765,0.392068007324175,17.0911206851252,2.10917483621412,0.049979063369882,0.108864557767387
"C9JR72",NA,NA,NA,NA,NA,NA
"D6REC4",NA,NA,NA,NA,NA,NA
"H7BZ55",NA,NA,NA,NA,NA,NA
"M0QZC1",NA,NA,NA,NA,NA,NA
"O00116",-0.0616131004816199,0.386201722203627,16.1019887336503,-0.159536058332578,0.875230585272991,0.92297043537879
"O00148",NA,NA,NA,NA,NA,NA
"O00151",0.660208099021207,0.352149437205215,18.883534918986,1.87479526947667,0.076374241047102,0.151012703888588
"O00154",1.03422425621774,0.401861600032321,15.2157074628204,2.57358318419715,0.0210058642905591,0.0561802410230324
"O00159",-1.09019570962453,0.325647280729597,17.9914271603769,-3.3477807865676,0.00358431787533587,0.0156840418272833
"O00160",1.04247497821869,0.348108808437822,16.2207388649397,2.99468141267932,0.00847430497067646,0.0285501071791127
"O00161",-0.271739999429577,0.586089012902753,13.4401523572505,-0.463649707548203,0.650318234359894,0.752892891286327
"O00167",NA,NA,NA,NA,NA,NA
"O00170",0.347385123847326,0.568569255139621,15.6333572578412,0.610981196586193,0.54999304849105,0.664846521224571
"O00178",0.58305198609616,0.280176047310837,17.6748540237562,2.08102010037033,0.0522593405445477,0.112424094058743
"O00194",NA,NA,NA,NA,NA,NA
"O00203",0.66825296030279,0.340212610134417,15.221620033007,1.9642216084782,0.0680337578863386,0.138311928403979
"O00204",3.45239159060336,0.777130365054526,11.5911297983281,4.44248705989133,0.000873179971984388,0.00567966012424368
"O00231",1.1640064244763,0.278259864073584,18.0701097623507,4.18316320376154,0.000554598036240775,0.00415316706632965
