"Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"A0A096LP01","M-P",-0.315703773237616,0.00140456112189688,-224.770405727345,0,NA,NA,NA,0.486111111111111,0.0694444444444444
"A0A0B4J2D5;P0DPI2","M-P",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A0A3B3IRV3","M-P",0.803770100032309,0.501321398704249,1.60330299506423,1,0.355025584014263,0.634722976312815,NA,0.658333333333333,0.158333333333333
"A0AV96","M-P",-0.0439485934558277,0.527460296282099,-0.0833211405021524,0,NA,NA,NA,0.513888888888889,0.0972222222222222
"A0AVT1","M-P",-0.149458490630042,0.0818871114576693,-1.82517722227024,5,0.127556637250988,0.410484349376914,NA,0.11231884057971,0.11231884057971
"A0FGR8","M-P",0.41202532922765,0.31004776522777,1.3289092050864,5,0.241291007784083,0.540023297768313,NA,0.144927536231884,0.144927536231884
"A0MZ66","M-P",-0.059129259302839,0.402464451233878,-0.146917967839296,4,0.890304233993514,0.953498690369677,NA,0.125,0.0416666666666667
"A1A4S6","M-P",0.349254496577512,0.377548343966512,0.925059008094843,3,0.423164837785747,0.684245239732667,NA,0.263888888888889,0.0972222222222222
"A1L020","M-P",-0.33348648525795,0.33852052223744,-0.985129300444719,5,0.369799710328286,0.644119451748068,NA,0.296296296296296,0.296296296296296
"A1L0T0","M-P",0.144004672493772,0.283562512964198,0.507841008278669,5,0.633168005367027,0.822087070479531,NA,0.273148148148148,0.273148148148148
"A1L390","M-P",1.68918281879753,0.141388281044533,11.9471204142123,2,0.00693327672467614,0.142788711714085,NA,0.505555555555556,0.255555555555556
"A1X283","M-P",-0.756065932672472,0.153623876105917,-4.92153922838921,5,0.00439164362351896,0.119870105139795,NA,0.00694444444444442,0.00694444444444444
"A2RRP1","M-P",0.35814622782352,0.160906354866838,2.22580536436807,5,0.0765674933964418,0.342283347374741,NA,0.205555555555556,0.205555555555556
"A2RTX5;P26639","M-P",-0.192016699949043,0.381954226233683,-0.502721757636909,4,0.641577131570322,0.826396484436805,NA,0.423611111111111,0.340277777777778
"A2VDJ0","M-P",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A3KMH1","M-P",0.126266682792751,0.405576095081099,0.311326738247486,5,0.768114270980136,0.890845250201197,NA,0.188271604938272,0.188271604938272
"A3KN83","M-P",-0.628840662958173,0.525487548562524,-1.19668042502315,5,0.285072749230177,0.573382236992403,NA,0.15,0.15
"A4D1E9","M-P",0.454311706651055,0.447405090039518,1.01543705417148,5,0.356487308435773,0.635748991889748,NA,0.0138888888888888,0.0138888888888889
"A4D1P6","M-P",0.837519771360277,0.769778974664612,1.08800032077413,5,0.326236403367718,0.609756697187066,NA,0.325757575757576,0.325757575757576
"A4D1U4","M-P",1.33419487033608,0.175128649749998,7.61837010815012,1,0.0830887527691353,0.356105290765927,NA,0.513888888888889,0.180555555555556
"A4D2B0","M-P",0.262309102009046,0.358341228264512,0.732009273059199,5,0.497016340705729,0.733712702961575,NA,0.0833333333333334,0.0833333333333333
"A4D2B8;P54278;Q13401;Q13670","M-P",-0.621946841953449,0.117381299757465,-5.29851725307631,1,0.11875370681538,0.399226778393911,NA,0.458333333333333,0.0416666666666667
"A5PL33","M-P",-0.795133099728534,0.421582682349679,-1.88606679785062,4,0.132350311190515,0.416495720422516,NA,0.208333333333333,0.125
