,Protein,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage
0,1433B_MOUSE;1433G_MOUSE,LT-Ctrl,-0.687040187387961,0.321563044348383,-2.13656450721874,0.0,,1.0,,0.685185185185185,0.0185185185185185
1,1433F_MOUSE,LT-Ctrl,-0.475045027211658,0.469104122574162,-1.01266436245517,3.0,0.385798636138581,0.9537399419728071,,0.444444444444444,0.0
2,1433G_MOUSE,LT-Ctrl,-0.750490425662944,0.461376670504077,-1.62663280057701,2.0,0.245337108983507,0.7773178900898424,,0.333333333333333,0.111111111111111
3,1433T_MOUSE,LT-Ctrl,0.524511314731768,0.480243149509284,1.09217865006032,3.0,0.354614654909873,0.9240326030368918,,0.355555555555556,0.244444444444444
4,2A5A_MOUSE,LT-Ctrl,0.638902510979955,0.185374052817072,3.44655846528007,2.0,0.0748540863209952,0.49084027325074586,,0.511111111111111,0.0666666666666667
5,2A5A_MOUSE;2A5E_MOUSE,LT-Ctrl,0.109326460386409,0.164434332347656,0.66486395405106,1.0,0.626461099301162,1.0,,0.481481481481482,0.037037037037037
6,2A5B_MOUSE,LT-Ctrl,0.745927555269115,0.581484030716771,1.2827997259867,1.0,0.421533508695225,0.9968526622374644,,0.722222222222222,0.0555555555555556
7,2AAA_MOUSE,LT-Ctrl,-1.53255436932817,0.597848417561255,-2.56344973794489,3.0,0.0829645300205424,0.5236530527476964,,0.277777777777778,0.0555555555555556
8,2ABA_MOUSE;2ABD_MOUSE,LT-Ctrl,-0.306608471520273,0.291806599844811,-1.05072493796691,2.0,0.403615178204052,0.9775818375011545,,0.444444444444444,0.111111111111111
9,4F2_MOUSE,LT-Ctrl,1.11399827568847,0.461349426550293,2.41465191366621,7.0,0.0464555389710073,0.39870830804705026,,0.372549019607843,0.372549019607843
10,5NTD_MOUSE,LT-Ctrl,-0.613818929610265,0.240600368551394,-2.55119696327127,1.0,0.237820356816913,0.7676218579384908,,0.592592592592593,0.037037037037037
11,6PGD_MOUSE,LT-Ctrl,-inf,,,,,1.0,oneConditionMissing,0.62962962962963,0.0740740740740741
12,AAAT_MOUSE,LT-Ctrl,0.599106034847141,0.0006524420380543,918.251737171492,0.0,,1.0,,0.666666666666667,0.111111111111111
13,AACS_MOUSE,LT-Ctrl,-inf,,,,,1.0,oneConditionMissing,0.494949494949495,0.0505050505050505
14,AAK1_MOUSE,LT-Ctrl,2.28186239595576,0.521519023786633,4.37541545347217,4.0,0.0119175133805802,0.25394040636153703,,0.611111111111111,0.277777777777778
15,AAKG1_MOUSE,LT-Ctrl,0.794258539511641,0.263292500140983,3.01663943745586,0.0,,1.0,,0.833333333333333,0.0555555555555556
16,AAKG2_MOUSE,LT-Ctrl,-0.236869871422791,0.269751076558062,-0.878105379393385,3.0,0.444533301219889,1.0,,0.511111111111111,0.288888888888889
17,AAPK2_MOUSE,LT-Ctrl,0.132009038016943,0.22225766852306,0.593945931738444,2.0,0.612780685600333,1.0,,0.444444444444444,0.111111111111111
18,AASD1_MOUSE,LT-Ctrl,-0.649590630727329,0.427815078263489,-1.51839115480462,6.0,0.179716237866185,0.6942281363324909,,0.541666666666667,0.430555555555556
19,AATM_MOUSE,LT-Ctrl,inf,,,,,1.0,oneConditionMissing,0.814814814814815,0.037037037037037
20,AB1IP_MOUSE,LT-Ctrl,-inf,,,,,1.0,oneConditionMissing,,
21,ABC8B_MOUSE,LT-Ctrl,0.385972233269172,0.502421838786847,0.768223439890959,4.0,0.485196814706721,1.0,,0.646464646464646,0.313131313131313
22,ABCA2_MOUSE,LT-Ctrl,-0.380733421646889,0.549286745222795,-0.693141469292984,5.0,0.519092837618545,1.0,,0.525925925925926,0.303703703703704
23,ABCA6_MOUSE,LT-Ctrl,-0.298333197235594,0.267665723178071,-1.1145737814069,5.0,0.315720179139606,0.8716926862081313,,0.718518518518519,0.496296296296296
24,ABCA7_MOUSE,LT-Ctrl,0.0996810949272748,0.636446036930247,0.15662144022149,1.0,0.901095191850871,1.0,,0.555555555555556,0.0
25,ABCB6_MOUSE,LT-Ctrl,-1.36431044480063,0.577672490925091,-2.36173691188896,3.0,0.0992436015250706,0.5610081915310393,,0.518518518518519,0.185185185185185
26,ABCB9_MOUSE,LT-Ctrl,0.820051384006044,0.28046382082391,2.92391147491681,6.0,0.0264960840002324,0.3321436055511789,,0.466666666666667,0.355555555555556
27,ABCBA_MOUSE,LT-Ctrl,-inf,,,,,1.0,oneConditionMissing,0.8,0.0222222222222222
28,ABCD1_MOUSE,LT-Ctrl,0.230379416616413,0.205353019291052,1.12187012108105,0.0,,1.0,,0.777777777777778,0.0
29,ABCF1_MOUSE,LT-Ctrl,-0.190119494295822,0.40015619219369,-0.475113213301962,4.0,0.65948632545476,1.0,,0.506172839506173,0.172839506172839
30,ABCF2_MOUSE,LT-Ctrl,-inf,,,,,1.0,oneConditionMissing,0.676767676767677,0.121212121212121
31,ABCF3_MOUSE,LT-Ctrl,1.00176535929709,0.39811790037886,2.51625299526543,1.0,0.240818670099377,0.7740778881211972,,0.222222222222222,0.0
32,ABD12_MOUSE,LT-Ctrl,-0.551038917202103,0.317565499584708,-1.7351976770862,3.0,0.181112843231156,0.6962058684640233,,0.481481481481482,0.148148148148148
33,ABEC2_MOUSE,LT-Ctrl,inf,,,,,1.0,oneConditionMissing,0.861111111111111,0.0833333333333333
34,ABHD6_MOUSE,LT-Ctrl,-inf,,,,,1.0,oneConditionMissing,0.740740740740741,0.0740740740740741
35,ABHGA_MOUSE,LT-Ctrl,-inf,,,,,1.0,oneConditionMissing,0.555555555555556,0.0
36,ABLM1_MOUSE,LT-Ctrl,-0.0855871538848152,0.43020281513317,-0.198946057241214,6.0,0.848875299123227,1.0,,0.396825396825397,0.285714285714286
37,ABLM2_MOUSE,LT-Ctrl,0.77775793605659,0.427100134480535,1.82102011511316,4.0,0.142707883069951,0.6435558034106148,,0.628019323671498,0.405797101449275
38,ACACA_MOUSE,LT-Ctrl,-1.50406235475904,0.403758514405744,-3.72515328121994,5.0,0.0136391803416214,0.2611273560690236,,0.613333333333333,0.391111111111111
39,ACACB_MOUSE,LT-Ctrl,1.3879063131998,0.150490757312692,9.22253524391532,3.0,0.002696726458429,0.1644951537043434,,0.585858585858586,0.363636363636364
40,ACAD8_MOUSE,LT-Ctrl,-0.478121172404805,0.715303417229199,-0.668417291024355,0.0,,1.0,,0.592592592592593,0.037037037037037
41,ACADL_MOUSE,LT-Ctrl,inf,,,,,1.0,oneConditionMissing,0.916666666666667,0.0277777777777778
42,ACADM_MOUSE,LT-Ctrl,0.25939847833706,0.485422736119858,0.534376449711681,1.0,0.687566694081259,1.0,,0.444444444444444,0.111111111111111
43,ACADV_MOUSE,LT-Ctrl,-0.51943706471587,0.291533214763083,-1.78174231412361,6.0,0.125074622006031,0.6052775685835894,,0.477777777777778,0.477777777777778
44,ACAP2_MOUSE,LT-Ctrl,-0.108059242188459,0.321784512197228,-0.335812439979172,1.0,0.793747869804261,1.0,,0.533333333333333,0.0888888888888889
45,ACBD5_MOUSE,LT-Ctrl,-0.671417293210764,0.30223226588625,-2.2215275104461,2.0,0.156426969386133,0.6656465524752739,,0.444444444444444,0.111111111111111
46,ACBG1_MOUSE,LT-Ctrl,-0.401033979605179,0.455130276294046,-0.881141072113786,6.0,0.412143493974809,0.985431606963099,,0.37037037037037,0.37037037037037
47,ACE_MOUSE,LT-Ctrl,-0.0908192842740171,0.72357430420895,-0.125514800271004,5.0,0.905006600307086,1.0,,0.530864197530864,0.308641975308642
48,ACES_MOUSE,LT-Ctrl,-0.851496929624681,0.424746194051758,-2.00471938665781,3.0,0.138690475315655,0.635964718941197,,0.655555555555556,0.211111111111111
49,ACINU_MOUSE,LT-Ctrl,-1.5099681954393,0.397799929109877,-3.79579805058795,5.0,0.0126828962269609,0.25394040636153703,,0.473251028806584,0.251028806584362
50,ACLY_MOUSE,LT-Ctrl,0.734826497061875,0.262257864715823,2.80192358714625,5.0,0.0379074954723062,0.3788911981420641,,0.462962962962963,0.351851851851852
51,ACOC_MOUSE,LT-Ctrl,-1.45059492899759,0.324921242789332,-4.46445088214224,6.0,0.0042626570861104,0.1746968562234165,,0.520833333333333,0.409722222222222
52,ACON_MOUSE,LT-Ctrl,-0.0939820048282527,0.759528392417168,-0.123737316164257,5.0,0.906343591660078,1.0,,0.464646464646465,0.353535353535354
53,ACOX2_MOUSE,LT-Ctrl,0.96283443286675,0.203143389876474,4.73967887142291,0.0,,1.0,,0.444444444444444,0.0
54,ACOX3_MOUSE,LT-Ctrl,0.401764011022626,0.597232609088268,0.672709434998796,0.0,,1.0,,0.555555555555556,0.0
55,ACS2L_MOUSE,LT-Ctrl,0.393257610283442,0.409026445519535,0.961447883361028,2.0,0.437776888654007,1.0,,0.513888888888889,0.180555555555556
56,ACSA_MOUSE,LT-Ctrl,0.221475602477859,0.789459120073548,0.28054093853172,3.0,0.797296643424704,1.0,,0.6,0.155555555555556
57,ACSL3_MOUSE,LT-Ctrl,0.05474950695487,0.14292280166754,0.383070485017679,1.0,0.76710709287322,1.0,,0.648148148148148,0.0925925925925926
58,ACSL5_MOUSE,LT-Ctrl,-0.704009482971244,0.514262448275453,-1.36896925943572,3.0,0.264499885234759,0.8011102026292547,,0.611111111111111,0.166666666666667
59,ACSL6_MOUSE,LT-Ctrl,-0.923000756286052,0.449150792991054,-2.05499081976337,3.0,0.132129343620882,0.6244403540427783,,0.474747474747475,0.252525252525253
60,ACTBL_MOUSE,LT-Ctrl,0.476222642741055,0.167174023338783,2.84866412394692,4.0,0.0464585122487917,0.39870830804705026,,0.505050505050505,0.282828282828283
61,ACTH_MOUSE,LT-Ctrl,,,,,,1.0,,,
62,ACTH_MOUSE;ACTS_MOUSE,LT-Ctrl,1.23735217808135,0.602128323193097,2.05496425001177,4.0,0.109073912012967,0.5861835152081074,,0.625730994152047,0.403508771929825
63,ACTN1_MOUSE,LT-Ctrl,0.21484305888033,0.250794613421105,0.856649415031856,2.0,0.481897219590277,1.0,,0.677777777777778,0.233333333333333
64,ACTN2_MOUSE,LT-Ctrl,1.91783747663044,0.708336353558627,2.70752371665716,4.0,0.0536746047799141,0.4248512349675119,,0.537037037037037,0.314814814814815
65,ACTN2_MOUSE;ACTN3_MOUSE,LT-Ctrl,1.80478329351635,0.984021736056828,1.83408884924481,2.0,0.208080993082114,0.734561673757129,,0.577777777777778,0.0222222222222222
66,ACTN3_MOUSE,LT-Ctrl,1.13895334315967,0.847026995856506,1.34464822104988,1.0,0.407086370129367,0.9795880072653849,,0.638888888888889,0.194444444444444
67,ACTN4_MOUSE,LT-Ctrl,-0.114255381132879,0.27505935448136,-0.415384458922744,3.0,0.705782250016261,1.0,,0.422222222222222,0.0888888888888889
