Protein,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage
1433B_MOUSE;1433G_MOUSE,LT-Ctrl,-0.687040187387961,0.321563044348383,-2.13656450721874,0.0,,,,0.685185185185185,0.0185185185185185
1433F_MOUSE,LT-Ctrl,-0.475045027211658,0.469104122574162,-1.01266436245517,3.0,0.385798636138581,0.615241557348237,,0.444444444444444,0.0
1433G_MOUSE,LT-Ctrl,-0.750490425662944,0.461376670504077,-1.62663280057701,2.0,0.245337108983507,0.501434665999503,,0.333333333333333,0.111111111111111
1433T_MOUSE,LT-Ctrl,0.524511314731768,0.480243149509284,1.09217865006032,3.0,0.354614654909873,0.596077853840341,,0.355555555555556,0.244444444444444
2A5A_MOUSE,LT-Ctrl,0.638902510979955,0.185374052817072,3.44655846528007,2.0,0.0748540863209952,0.31663278513781,,0.511111111111111,0.0666666666666667
2A5A_MOUSE;2A5E_MOUSE,LT-Ctrl,0.109326460386409,0.164434332347656,0.66486395405106,1.0,0.626461099301162,0.779964812374957,,0.481481481481482,0.037037037037037
2A5B_MOUSE,LT-Ctrl,0.745927555269115,0.581484030716771,1.2827997259867,1.0,0.421533508695225,0.643052846348338,,0.722222222222222,0.0555555555555556
2AAA_MOUSE,LT-Ctrl,-1.53255436932817,0.597848417561255,-2.56344973794489,3.0,0.0829645300205424,0.337799755996627,,0.277777777777778,0.0555555555555556
2ABA_MOUSE;2ABD_MOUSE,LT-Ctrl,-0.306608471520273,0.291806599844811,-1.05072493796691,2.0,0.403615178204052,0.630621562200139,,0.444444444444444,0.111111111111111
4F2_MOUSE,LT-Ctrl,1.11399827568847,0.461349426550293,2.41465191366621,7.0,0.0464555389710073,0.257200007648984,,0.372549019607843,0.372549019607843
5NTD_MOUSE,LT-Ctrl,-0.613818929610265,0.240600368551394,-2.55119696327127,1.0,0.237820356816913,0.49517991912526,,0.592592592592593,0.037037037037037
6PGD_MOUSE,LT-Ctrl,-inf,,,,,0.0,oneConditionMissing,0.62962962962963,0.0740740740740741
AAAT_MOUSE,LT-Ctrl,0.599106034847141,0.0006524420380543,918.251737171492,0.0,,,,0.666666666666667,0.111111111111111
AACS_MOUSE,LT-Ctrl,-inf,,,,,0.0,oneConditionMissing,0.494949494949495,0.0505050505050505
AAK1_MOUSE,LT-Ctrl,2.28186239595576,0.521519023786633,4.37541545347217,4.0,0.0119175133805802,0.163812674931435,,0.611111111111111,0.277777777777778
AAKG1_MOUSE,LT-Ctrl,0.794258539511641,0.263292500140983,3.01663943745586,0.0,,,,0.833333333333333,0.0555555555555556
AAKG2_MOUSE,LT-Ctrl,-0.236869871422791,0.269751076558062,-0.878105379393385,3.0,0.444533301219889,0.657474078377668,,0.511111111111111,0.288888888888889
AAPK2_MOUSE,LT-Ctrl,0.132009038016943,0.22225766852306,0.593945931738444,2.0,0.612780685600333,0.769157952548786,,0.444444444444444,0.111111111111111
AASD1_MOUSE,LT-Ctrl,-0.649590630727329,0.427815078263489,-1.51839115480462,6.0,0.179716237866185,0.447834866670965,,0.541666666666667,0.430555555555556
AATM_MOUSE,LT-Ctrl,inf,,,,,0.0,oneConditionMissing,0.814814814814815,0.037037037037037
AB1IP_MOUSE,LT-Ctrl,-inf,,,,,0.0,oneConditionMissing,,
ABC8B_MOUSE,LT-Ctrl,0.385972233269172,0.502421838786847,0.768223439890959,4.0,0.485196814706721,0.686568770521035,,0.646464646464646,0.313131313131313
ABCA2_MOUSE,LT-Ctrl,-0.380733421646889,0.549286745222795,-0.693141469292984,5.0,0.519092837618545,0.711178203441763,,0.525925925925926,0.303703703703704
ABCA6_MOUSE,LT-Ctrl,-0.298333197235594,0.267665723178071,-1.1145737814069,5.0,0.315720179139606,0.562314255899171,,0.718518518518519,0.496296296296296
ABCA7_MOUSE,LT-Ctrl,0.0996810949272748,0.636446036930247,0.15662144022149,1.0,0.901095191850871,0.953699640841654,,0.555555555555556,0.0
ABCB6_MOUSE,LT-Ctrl,-1.36431044480063,0.577672490925091,-2.36173691188896,3.0,0.0992436015250706,0.361896926250904,,0.518518518518519,0.185185185185185
ABCB9_MOUSE,LT-Ctrl,0.820051384006044,0.28046382082391,2.92391147491681,6.0,0.0264960840002324,0.214260240291365,,0.466666666666667,0.355555555555556
ABCBA_MOUSE,LT-Ctrl,-inf,,,,,0.0,oneConditionMissing,0.8,0.0222222222222222
ABCD1_MOUSE,LT-Ctrl,0.230379416616413,0.205353019291052,1.12187012108105,0.0,,,,0.777777777777778,0.0
ABCF1_MOUSE,LT-Ctrl,-0.190119494295822,0.40015619219369,-0.475113213301962,4.0,0.65948632545476,0.805087202503213,,0.506172839506173,0.172839506172839
ABCF2_MOUSE,LT-Ctrl,-inf,,,,,0.0,oneConditionMissing,0.676767676767677,0.121212121212121
ABCF3_MOUSE,LT-Ctrl,1.00176535929709,0.39811790037886,2.51625299526543,1.0,0.240818670099377,0.49934459535312,,0.222222222222222,0.0
ABD12_MOUSE,LT-Ctrl,-0.551038917202103,0.317565499584708,-1.7351976770862,3.0,0.181112843231156,0.449110668326189,,0.481481481481482,0.148148148148148
ABEC2_MOUSE,LT-Ctrl,inf,,,,,0.0,oneConditionMissing,0.861111111111111,0.0833333333333333
ABHD6_MOUSE,LT-Ctrl,-inf,,,,,0.0,oneConditionMissing,0.740740740740741,0.0740740740740741
ABHGA_MOUSE,LT-Ctrl,-inf,,,,,0.0,oneConditionMissing,0.555555555555556,0.0
