specie	ProteinName	LT	ST	p	q	log2(A,B)
MOUSE	1433B_MOUSE	25.32176389944002	25.87427682849841	0.2866280097827958	0.49602885143829134	-0.5525129290583912
MOUSE	1433B_MOUSE;1433E_MOUSE;1433F_MOUSE;1433G_MOUSE;1433Z_MOUSE	26.367237413606414	26.857872748744583	0.2990511877016323	0.5073303920048403	-0.4906353351381689
MOUSE	1433B_MOUSE;1433G_MOUSE	22.724174568571815	23.333060352321368	0.5268136122822381	0.7010861621238914	-0.6088857837495532
MOUSE	1433E_MOUSE	26.72869830732178	27.2315699281474	0.09783558437737941	0.27050223955406655	-0.5028716208256228
MOUSE	1433F_MOUSE	24.568696329618994	25.02351362667316	0.30432150661608115	0.5117893045852961	-0.4548172970541664
MOUSE	1433G_MOUSE	26.35336899945599	26.578995095436316	0.38891148824729477	0.5881440558861191	-0.22562609598032424
MOUSE	1433T_MOUSE	23.760206581930145	24.55654518974879	0.027368143588360164	0.12966139651477523	-0.7963386078186439
MOUSE	1433Z_MOUSE	27.10249532821934	27.58247488311119	0.32413467823941905	0.5302996080661716	-0.4799795548918482
MOUSE	2A5A_MOUSE	20.200296702197104	20.74837102391847	0.32040489167544406	0.5273909991137866	-0.5480743217213657
MOUSE	2A5B_MOUSE	22.851107608545995	23.235873705752102	0.7020031104399204	0.818592865879184	-0.3847660972061071
MOUSE	2A5E_MOUSE	22.361428465604668	22.663708148414536	0.8966450462260276	0.9303283893736292	-0.3022796828098677
MOUSE	2A5G_MOUSE	20.901116214514985	21.47032398994421	0.42812129620369443	0.622099527955967	-0.5692077754292235
MOUSE	2AAA_MOUSE	25.68983069964169	26.278383663524714	0.061142565569744026	0.20688646541611924	-0.5885529638830249
MOUSE	2ABA_MOUSE	21.911808520764538	22.470005318605654	0.19206142623399505	0.39993366047646506	-0.5581967978411164
MOUSE	2ABA_MOUSE;2ABD_MOUSE	21.590185587596114	22.2385513932086	0.22138066086502792	0.43340000945967666	-0.6483658056124852
MOUSE	3HIDH_MOUSE	23.653652374709242	23.97632608548012	0.9956944408737121	0.978239486699722	-0.3226737107708786
MOUSE	4F2_MOUSE	25.12059342957242	25.13682239507529	0.012949043198383126	0.08911724486893598	-0.016228965502868675
