"","logFC","se","df","t","pval","adjPval"
"1433B_MOUSE",-0.021298049183717,0.131488260913295,8.75393059045963,-0.16197681097753,0.87500096999596,0.914904544159336
"1433E_MOUSE",0.105352384441379,0.111795326296191,8.99528414444337,0.942368414957325,0.370622807546816,0.513454233724709
"1433F_MOUSE",-0.118116543183858,0.208442180801567,9.29113087676132,-0.566663343904961,0.584370422333147,0.696889858491317
"1433G_MOUSE",0.232797827043197,0.159693893262784,8.97003738347158,1.45777538694054,0.179005096189551,0.307187946645544
"1433S_MOUSE",0.127071073548469,0.323027185011368,8.77942180505727,0.393375788307097,0.703423653228732,0.791372352500076
"1433T_MOUSE",-0.341108956241119,0.123504527170084,8.93026252913842,-2.76191459582175,0.0222001988355831,0.0707705536409733
"1433Z_MOUSE",-0.0946945559102304,0.149302947993986,9.13573686442854,-0.634244381524499,0.541475344954457,0.661110066586739
"2A5A_MOUSE",-0.0407485259407129,0.227948025697559,8.86252251348387,-0.17876235521679,0.862143996382732,0.905254343635901
"2A5B_MOUSE",0.116402027512446,0.124161704323654,8.41494297992886,0.937503460882099,0.37462401731336,0.516950792409553
"2A5E_MOUSE",0.171761414200417,0.117065396188876,9.19138118873585,1.46722618119613,0.175679010277095,0.302860678622008
"2A5G_MOUSE",0.0529381770536374,0.296994097882916,9.29246427476054,0.17824656257818,0.862354892668882,0.905254343635901
"2AAA_MOUSE",-0.0528236572720951,0.0957384831562717,9.29246427476054,-0.551749469289922,0.594138477800737,0.705718506427595
"2ABA_MOUSE",-0.550851998571527,0.186168520124953,9.04086442915598,-2.95888906567987,0.0159111907089985,0.0557534669296207
"2ABD_MOUSE",NA,NA,NA,NA,NA,NA
"3HAO_MOUSE",NA,NA,NA,NA,NA,NA
"3HIDH_MOUSE",0.110082621134474,0.170977031185918,8.87021128846145,0.643844499877716,0.535966404120555,0.657037422845548
"4F2_MOUSE",0.901239218044965,0.138925028773142,9.01072854187756,6.4872343450556,0.000112514823902362,0.00387859934438178
"5HT2B_MOUSE",1.10777940923098,0.128748493532983,7.59673527622578,8.60421259179381,3.52444357309531e-05,0.00236733400001289
"5NT3A_MOUSE",0.294851702806773,0.15477112707247,8.76131266743791,1.90508209369512,0.0900487469887499,0.187447609947337
"5NTC_MOUSE",0.0586936869202623,0.174538220875874,9.29246427476054,0.336279851059117,0.744129343069092,0.821660763393494
"5NTD_MOUSE",0.451190285822322,0.163596745428781,9.29246427476054,2.75794169767724,0.0215550435938485,0.06949288051662
"6PGD_MOUSE",-0.437911031978652,0.116394410779236,9.29246427476054,-3.76230292371369,0.00422143683833318,0.0239382072318798
"6PGL_MOUSE",-0.298719649206554,0.125434699986962,8.89933259611392,-2.38147537513626,0.0414259464073898,0.108490026588051
"A16A1_MOUSE",-0.726256242701939,0.125492092312648,9.29246427476054,-5.7872669848596,0.000233353847048768,0.00532471050993098
"A16L1_MOUSE",-0.70525084756677,0.222080974836168,9.09273227857052,-3.17564729750959,0.0111199380584752,0.0438998216894604
"A1AG1_MOUSE",1.0569564590997,0.513634232996341,8.71468965138583,2.0577998723602,0.0707437593098483,0.157948028159488
"A1AT1_MOUSE;A1AT3_MOUSE",-0.637651343507831,0.320322493795529,7.48993225086784,-1.99065428079135,0.0841291249946342,0.178395641218057
"A1AT2_MOUSE",0.606521562943317,0.353496075643185,9.13202063117743,1.71578018748795,0.11985157020967,0.231080900410391
"A1AT4_MOUSE",0.198072513788354,0.229217633715114,9.09458177029365,0.864124241132911,0.409731339498035,0.547535278954629
"A1AT5_MOUSE",-2.43783919526637,0.666193225288095,9.24615459180434,-3.65935752980996,0.00500770097038717,0.0266834926567334
"A2AP_MOUSE",0.0397225091321745,0.227822961489742,9.14970444232212,0.174356916758643,0.86538199878162,0.907233843084095
"A4_MOUSE",0.0812533692132809,0.230293319259859,8.781697627387,0.352825559483972,0.732539407218882,0.812626292865049
"A4GCT_MOUSE",NA,NA,NA,NA,NA,NA
"AAAS_MOUSE",0.163398811993219,0.380572660377561,9.0822896839328,0.429349843026332,0.677674086852942,0.771414780085431
"AAAT_MOUSE",-0.0444275706190235,0.144769503395402,9.29246427476054,-0.306884872690905,0.765696904067094,0.837963220004919
"AACS_MOUSE",-2.04113237591544,0.151533529431687,9.29246427476054,-13.4698398669293,2.07932306990265e-07,0.000209033086001362
"AAK1_MOUSE",-0.504710904633261,0.32945676078903,7.54688183508041,-1.53194884641161,0.166315268372796,0.291816598554035
"AAKB2_MOUSE",0.0611111854134534,0.281005812269729,9.12427123058482,0.217473029898736,0.832625168957129,0.884165983245724
"AAKG1_MOUSE",0.750277147539504,0.226698028175734,8.20852119274012,3.30958832583182,0.0103252143072945,0.0418359787863105
"AAKG2_MOUSE",0.435456903370081,0.278995211765192,8.39301990657865,1.56080421816189,0.155430084437119,0.277450151574638
"AAMDC_MOUSE",0.486114536518825,0.14984487917198,9.29246427476054,3.24411844572213,0.00967931323034131,0.040314973620522
"AAPK1_MOUSE",-0.109472139985896,0.223313306969369,6.55466409082656,-0.490217719094149,0.639959276403734,0.742908348337863
"AAPK2_MOUSE",-0.0426887542528809,0.301011785264724,8.95922687825319,-0.141817551147834,0.890361915032358,0.926092905733766
"AASD1_MOUSE",-0.136336614289648,0.138414463999804,9.14068376847109,-0.984988203905056,0.349982701786198,0.492350296406601
"AATC_MOUSE",1.00674289553322,0.149406698012468,9.0821248139435,6.73827150272211,8.11969449720789e-05,0.00331963118060461
"AATM_MOUSE",0.304867536499324,0.169320214323491,8.88142019281076,1.80053833334315,0.105746051756674,0.211093729940385
"AB1IP_MOUSE",NA,NA,NA,NA,NA,NA
"ABC8A_MOUSE",-0.00232760085208885,0.234163344337863,8.72874312356846,-0.00994007349301636,0.992292565352309,0.997020196345201
"ABC8B_MOUSE",-0.649403085408992,0.176723246103134,9.29246427476054,-3.67468966154009,0.00484675379004879,0.0260133445927485
"ABCA2_MOUSE",-1.27213978373363,0.278182525336747,8.42210186104787,-4.57303988521088,0.00159220964365065,0.0140321714084191
"ABCA3_MOUSE",NA,NA,NA,NA,NA,NA
"ABCA6_MOUSE",-0.427084039572944,0.122306635102104,9.01164675362649,-3.49191226801722,0.00679612973892254,0.0322816162598821
"ABCA7_MOUSE",0.253598194279746,0.472543764421507,8.92103782294133,0.536666047408759,0.604621473803504,0.71513884141094
"ABCA9_MOUSE",-0.76707253860819,0.287841194397696,9.29246427476054,-2.66491577139707,0.0251576775145604,0.0767792315988073
"ABCB6_MOUSE",-0.253675578493741,0.830329430941232,6.93428001524929,-0.305511967950098,0.768943218086558,0.839859555964798
"ABCB7_MOUSE",0.327282863389252,0.191917180548373,9.13878320648796,1.70533384480792,0.121810904978939,0.233675062688881
"ABCB9_MOUSE",0.617189263122372,0.169632585412768,9.18242895713364,3.63838858920037,0.00523631248947721,0.0275628854992459
"ABCBA_MOUSE",NA,NA,NA,NA,NA,NA
"ABCBB_MOUSE",0.334085899450369,0.162508164592428,9.29246427476054,2.05580993600081,0.06897675561606,0.155018919666819
"ABCD1_MOUSE",-1.04353012507699,0.398061111829954,7.7637262124946,-2.62153245836979,0.0313677644180696,0.0888063117751978
"ABCD2_MOUSE",-1.05386548767019,0.333260214549856,9.29246427476054,-3.1622901314328,0.0110624780975843,0.0438180714679231
"ABCD3_MOUSE",-0.785921791926441,0.314982591533876,8.68086571496448,-2.49512770880201,0.0350356245338252,0.0959497104598757
"ABCE1_MOUSE",-0.0725459498227955,0.216297212833731,8.80082809099335,-0.33539937418686,0.745180188600154,0.82239785713943
"ABCF1_MOUSE",-1.14085136385141,0.317588032606204,7.76952153240904,-3.59223662960254,0.00741330899003967,0.0339942986283646
"ABCF2_MOUSE",-0.220882079653216,0.175455971445266,9.22023464225121,-1.25890317572988,0.239003867373656,0.375060692170111
"ABCF3_MOUSE",0.638967987200049,0.223304387784144,8.95847434606927,2.86142154903693,0.0188229573535642,0.0626862315776169
"ABCG2_MOUSE",-0.0475318125806344,0.265487782003248,9.09804400667316,-0.179035781692029,0.861833259755059,0.905254343635901
"ABD12_MOUSE",-0.358753640818733,0.167919513783428,9.29246427476054,-2.13646188424194,0.0604300933207339,0.141062709273901
"ABEC2_MOUSE",0.35348205727543,0.228471305555089,8.57667790681643,1.54716171650798,0.157883824054026,0.280845936931612
"ABHD3_MOUSE",NA,NA,NA,NA,NA,NA
"ABHD4_MOUSE",-0.4925275123323,0.171191305274707,9.29246427476054,-2.87705915637451,0.0176924092189764,0.0600534516478992
"ABHD5_MOUSE",-1.41252316446854,0.203426388368357,4.59912374075497,-6.9436574861212,0.00132781959153903,0.0128706740488814
"ABHD6_MOUSE",-0.497881358912073,0.30874887619296,9.29246427476054,-1.61257707251025,0.140232066096435,0.258211090043976
"ABHDA_MOUSE",0.589556240667678,0.281092927411408,8.45884915231927,2.09737130740683,0.0673511849705632,0.152154334971395
"ABHDB_MOUSE",NA,NA,NA,NA,NA,NA
"ABHEB_MOUSE",0.294373978151521,0.155996572747996,8.53700648771283,1.88705413821536,0.093543216391513,0.192453666510408
"ABHGA_MOUSE",-0.473302326241636,0.167516307727159,9.29246427476054,-2.82541044906819,0.0192726385439524,0.0637387054203253
"ABI1_MOUSE",-0.393763444631723,0.115050554406217,9.29246427476054,-3.42252539906444,0.00724976696502971,0.0335504649260615
"ABI2_MOUSE",-0.310371711961456,0.254048475885611,9.27306017257228,-1.22170271197063,0.25196773521529,0.389391825360852
"ABLM1_MOUSE",-0.306723876487553,0.288519756635705,7.28413264236395,-1.0630948814879,0.321707654441317,0.463651799344406
"ABLM2_MOUSE",-0.0611913761879955,0.35062338740136,7.9745682187022,-0.174521661665283,0.865804833705954,0.907278235979718
"ABR_MOUSE",0.131039873221379,0.194407063411401,9.20440555380277,0.674048930743194,0.516848960442926,0.641554578956875
"ABRAL_MOUSE",-1.07168923166474,0.121132520892871,9.1669222709145,-8.84724617109666,8.69242992193086e-06,0.00098700472137353
"ABRX2_MOUSE",-0.46108033890971,0.361338046371544,8.78920671502363,-1.27603595452998,0.234629869801778,0.370191020127609
"ABTB2_MOUSE",-0.0802235949727247,0.203385304670952,8.71328015735204,-0.394441452407365,0.702735050298007,0.790784203603397
"ACACA_MOUSE",-0.985740120729025,0.14730966350394,9.14793375406316,-6.69161884754873,8.27950944859497e-05,0.00334618479324995
"ACACB_MOUSE",2.57025872545926,0.589611121755435,8.05686678541688,4.35924396712004,0.00237474561526743,0.0171517790523315
"ACAD8_MOUSE",0.100891980407872,0.146440556183959,8.27086462885828,0.688962013235813,0.509709246027803,0.634840270124469
"ACAD9_MOUSE",-0.116997732095146,0.132478610504267,8.71372810368197,-0.883144317786889,0.400866302174169,0.539732183813837
"ACADL_MOUSE",0.261186456681066,0.218893625658083,8.0061927090687,1.19321179817746,0.266944102355375,0.405561141807194
"ACADM_MOUSE",0.196474746479579,0.314660819374785,6.03273038201722,0.624401687092674,0.555226869294174,0.672295742089808
"ACADS_MOUSE",-0.127447744400281,0.257773032923461,6.68162571460192,-0.494418453919977,0.636848345883172,0.741435582644731
"ACADV_MOUSE",0.233751436158876,0.184193113564278,9.04351855070032,1.26905632700163,0.236108132689895,0.371739744073328
"ACAP2_MOUSE",-0.135699349879127,0.246789270042069,9.29246427476054,-0.549859197103648,0.595382991182119,0.706672011757903
"ACBD5_MOUSE",-0.403508665026846,0.248309183720627,9.2881286775304,-1.62502513592423,0.137554829157473,0.254361760469946
"ACBD6_MOUSE",0.244355100394935,0.272749411429795,8.45442623110769,0.895895976874847,0.395100400169728,0.534646875436803
"ACBG1_MOUSE",-0.186747116995981,0.250411046546677,9.13049908253552,-0.745762295918411,0.474571924677095,0.603908000440769
"ACBP_MOUSE",0.197770818256804,0.182211133236426,8.21515258633216,1.08539371192093,0.308568211575323,0.450810888360418
"ACD10_MOUSE",0.0175559396672816,0.389097892957672,7.68381011518717,0.0451195958267277,0.965162442011877,0.978083231184582
"ACDSB_MOUSE",-0.424961685048897,0.187342882310174,9.18879560767519,-2.26836312011742,0.0489188257368201,0.122271425544494
"ACE_MOUSE",-0.663901492185914,0.156870862181318,8.82233879815723,-4.2321530139775,0.00230039681021687,0.0168519084299911
"ACE2_MOUSE",NA,NA,NA,NA,NA,NA
"ACES_MOUSE",0.280118193157777,0.337468577421865,7.63562791198046,0.830057113162285,0.431690687646433,0.56823982594144
"ACINU_MOUSE",-0.791238781043099,0.242664859233134,9.29246427476054,-3.26062365825675,0.00942270571795827,0.0396618566363133
"ACL6A_MOUSE",-0.793004791225763,0.153815576434911,9.29246427476054,-5.15555582604688,0.000540798369683132,0.0085199305329279
"ACLY_MOUSE",0.256731308917674,0.134937840233014,7.85468577417457,1.90258943284066,0.0942723261690773,0.1936196052973
"ACO11_MOUSE",-0.208985442376312,0.174384619541518,8.98278373067906,-1.19841671201144,0.261415560340042,0.399708498641122
