"Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"1433B_MOUSE;1433G_MOUSE","T2-T1",0.502703941509804,0.310473889421456,1.61915046204547,0,NA,NA,NA,0.666666666666667,0
"1433F_MOUSE","T2-T1",0.456312720467018,0.523848725641495,0.87107727504391,0,NA,NA,NA,0.444444444444444,0
"1433G_MOUSE","T2-T1",0.819756030488083,0.454906004588143,1.80203387561407,1,0.322523819266272,0.611543630665073,NA,0.333333333333333,0.111111111111111
"1433T_MOUSE","T2-T1",-0.377110260046032,0.564749101388878,-0.667748313576083,2,0.573032780205313,0.750253499985931,NA,0.222222222222222,0.111111111111111
"2A5A_MOUSE","T2-T1",-0.474274423123397,0.0515667724731853,-9.19728733013142,1,0.0689473698870424,0.439937622446639,NA,0.511111111111111,0.0666666666666667
"2A5A_MOUSE;2A5E_MOUSE","T2-T1",-0.119708385389919,0.153105234340696,-0.781869972672122,1,0.57754684185813,0.750253499985931,NA,0.481481481481482,0.037037037037037
"2A5B_MOUSE","T2-T1",-0.574625444808713,0.349397037533866,-1.64462025455214,0,NA,NA,NA,0.666666666666667,0
"2AAA_MOUSE","T2-T1",1.44592518739481,0.620642130173942,2.32972451771776,2,0.145169834994538,0.482626378622403,NA,0.277777777777778,0.0555555555555556
"2ABA_MOUSE;2ABD_MOUSE","T2-T1",0.282981095508182,0.325905413893768,0.868292097781541,0,NA,NA,NA,0.444444444444444,0.111111111111111
"4F2_MOUSE","T2-T1",-1.16983813939132,0.47953204048579,-2.43954113724334,3,0.0925381173982176,0.448156497886137,NA,0.372549019607843,0.372549019607843
"5NTD_MOUSE","T2-T1",-0.246719562270926,0.771829314063593,-0.319655599723177,0,NA,NA,NA,0.555555555555556,0
"6PGD_MOUSE","T2-T1",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"AAAT_MOUSE","T2-T1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AACS_MOUSE","T2-T1",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"AAK1_MOUSE","T2-T1",-1.46861311109857,0.367258066419909,-3.99885869196789,0,NA,NA,NA,0.54320987654321,0.209876543209877
"AAKG2_MOUSE","T2-T1",0.238524164415111,0.500254867751234,0.476805284249076,1,0.716754968254446,0.833760373883009,NA,0.444444444444444,0.222222222222222
"AAPK2_MOUSE","T2-T1",0.0441162951996904,0.0846865538568138,0.520936243010683,1,0.694259549466756,0.820003595198934,NA,0.333333333333333,0
"AASD1_MOUSE","T2-T1",0.895890239338761,0.33798651854144,2.65066856277262,2,0.117719443818212,0.477470848429472,NA,0.492063492063492,0.380952380952381
"AB1IP_MOUSE","T2-T1",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"ABC8B_MOUSE","T2-T1",-0.90727278278208,0.66260790636918,-1.36924533206005,0,NA,NA,NA,0.425925925925926,0.0925925925925926
"ABCA2_MOUSE","T2-T1",0.40339375450129,0.653535435237032,0.617248480726959,1,0.647945598778772,0.793162075410647,NA,0.507936507936508,0.285714285714286
