ProteinName	log2(A,B)	AveExpr	t	P.Value	q	B
P0A6L2_ECOLI	2.0844258424295	8.02901330314198	-102.158390977323	4.69174628412861e-10	8.57795243246328e-08	14.3288061124535
P02925_ECOLI	1.8850866415702	12.3561205303117	-98.525431174018	5.700401438814021e-10	8.57795243246328e-08	14.1504530270539
P0A6K6_ECOLI	1.89426083011871	9.72846865912512	-97.1843711322028	6.136395913877321e-10	8.57795243246328e-08	14.0821936642818
P02359_ECOLI	1.90521388625735	10.9218710934925	-96.9075400207959	6.23125606982081e-10	8.57795243246328e-08	14.0679346885207
P0A6M8_ECOLI	1.85600094997282	11.6175742500872	-95.8894142304853	6.59542018898786e-10	8.57795243246328e-08	14.0149886683876
P0A6Y8_ECOLI	1.82923699113431	12.2658837600387	-95.799563971067	6.62875375611487e-10	8.57795243246328e-08	14.0102776926709
P31658_ECOLI	1.86558363971599	11.0633624757039	-95.6309439856496	6.69185094916578e-10	8.57795243246328e-08	14.0014197277469
P0A991_ECOLI	1.86667136726282	10.4274942550696	-95.377501952807	6.78803332139438e-10	8.57795243246328e-08	13.9880640573813
P0A8G6_ECOLI	1.87413420571849	10.5644815076807	-95.2952530885314	6.81959882050998e-10	8.57795243246328e-08	13.9837189449871
P0A7L0_ECOLI	1.91539630494362	11.7678174375408	-94.7417703454496	7.03660085693783e-10	8.57795243246328e-08	13.954340201846
P0A853_ECOLI	1.89035163518753	13.79303529184	-94.1265561486589	7.28748697286295e-10	8.57795243246328e-08	13.9213985190822
P0AE08_ECOLI	1.89822715252853	12.7434256912389	-93.7274305572688	7.455929565776461e-10	8.57795243246328e-08	13.899864391621
P0A9G6_ECOLI	1.85692518796175	13.0208588096367	-93.6557674307968	7.48666024122828e-10	8.57795243246328e-08	13.8959842530976
P0A6F5_ECOLI	1.87661116863327	12.2370949229836	-93.032227214551	7.76048424081984e-10	8.57795243246328e-08	13.8620461097073
P0ABP8_ECOLI	1.84249064328584	10.3762229840662	-92.9898527554388	7.77951994439908e-10	8.57795243246328e-08	13.8597281591198
P0AG55_ECOLI	1.89741495269657	10.9086836721769	-92.9667476408153	7.78992268353937e-10	8.57795243246328e-08	13.8584636482295
P0A8L1_ECOLI	1.80904176588769	8.64204254792553	-92.7885760407151	7.87069827375464e-10	8.57795243246328e-08	13.8486977420525
P0A9Q7_ECOLI	1.85041387222088	11.9809908431665	-92.517862655389	7.995337735283081e-10	8.57795243246328e-08	13.8338090651235
P0ABB0_ECOLI	1.77839266614897	11.8228373540858	-91.3139716388262	8.57877782719319e-10	8.57795243246328e-08	13.7668528426171
P00350_ECOLI	1.79389669647479	10.705071237231	-91.0805349318795	8.69767576930851e-10	8.57795243246328e-08	13.7537274581608
P0A862_ECOLI	1.85733138701824	10.5816076902455	-91.0773956586571	8.69928798381388e-10	8.57795243246328e-08	13.7535506285497
P0AEW9_ECOLI	1.81200143515081	9.90816186063428	-90.8808269431132	8.80094788894682e-10	8.57795243246328e-08	13.742461378562
P0A9M0_ECOLI	1.97415821119283	8.1832137163102	-90.8714398304886	8.80583778364533e-10	8.57795243246328e-08	13.7419309799692
P0AEH5_ECOLI	2.0726233015442	9.87554958834215	-90.5869779633744	8.95555803671364e-10	8.57795243246328e-08	13.7258219358418
P0A836_ECOLI	1.84182962695345	9.53141534978705	-90.2283624008307	9.14863112720196e-10	8.57795243246328e-08	13.7054134074194
P37689_ECOLI	1.82372043341893	10.7492475615684	-90.1483228213275	9.1923944938e-10	8.57795243246328e-08	13.7008430895202
